../results/qa194_shuffle-000-01.csv,../results/qa194_shuffle-000-02.csv,avg
5731.178088000012,5960.467000000009,5845.822544000011
5656.35584800001,5868.978088000012,5762.6669680000105
5474.24472000001,5648.111440000012,5561.178080000011
5458.822488000011,5588.955888000014,5523.889188000012
5421.711384000012,5497.044768000014,5459.378076000014
5421.711384000012,5395.444768000016,5408.578076000014
5409.6002720000115,5363.9336800000165,5386.7669760000135
5264.80026400001,5318.489232000014,5291.644748000012
5240.24472800001,5298.822552000014,5269.533640000012
5240.24472800001,5273.822536000014,5257.0336320000115
5197.644720000013,5249.200304000015,5223.422512000014
5197.644720000013,5214.7114160000165,5206.178068000015
5192.889176000012,5202.222512000015,5197.555844000013
5188.444752000014,5151.578064000015,5170.011408000015
5153.444752000013,5151.578064000015,5152.511408000014
5133.333632000013,5090.266960000017,5111.800296000015
5133.333632000013,5086.378048000017,5109.855840000015
5131.422520000012,5082.200280000016,5106.811400000014
5117.689192000013,5077.022496000017,5097.355844000014
5117.689192000013,5050.644736000016,5084.166964000015
5081.600296000011,5038.355856000016,5059.978076000014
5050.400288000012,5038.355856000016,5044.378072000014
5035.689168000013,5031.422520000015,5033.555844000013
4993.377984000012,5031.422520000015,5012.400252000013
4993.377984000012,5026.578064000015,5009.978024000013
4993.377984000012,5021.422520000015,5007.400252000013
4993.044648000013,5018.489200000015,5005.766924000014
4981.1557520000115,5005.889192000015,4993.522472000013
4968.289072000013,4981.933624000015,4975.111348000014
4968.289072000013,4981.933624000015,4975.111348000014
4961.933536000014,4981.933624000015,4971.933580000014
4957.511328000013,4960.733624000014,4959.122476000013
4957.511328000013,4945.489184000015,4951.500256000014
4957.511328000013,4945.489184000015,4951.500256000014
4957.511328000013,4938.844728000015,4948.178028000014
4924.355768000013,4926.600288000015,4925.478028000014
4914.200224000013,4926.600288000015,4920.4002560000135
4909.400232000012,4926.111400000016,4917.7558160000135
4909.400232000012,4924.822504000015,4917.1113680000135
4909.400232000012,4924.822504000015,4917.1113680000135
4909.400232000012,4894.555832000015,4901.978032000014
4909.400232000012,4894.555832000015,4901.978032000014
4909.400232000012,4894.555832000015,4901.978032000014
4909.400232000012,4881.6224800000155,4895.511356000014
4901.489128000013,4881.6224800000155,4891.555804000014
4901.489128000013,4881.6224800000155,4891.555804000014
4901.489128000013,4881.6224800000155,4891.555804000014
4894.755784000012,4868.9113600000155,4881.833572000014
4894.755784000012,4866.489152000016,4880.622468000014
4890.133576000013,4866.489152000016,4878.311364000014
4890.133576000013,4857.044712000016,4873.589144000014
4890.133576000013,4857.044712000016,4873.589144000014
4890.133576000013,4857.044712000016,4873.589144000014
4888.733584000012,4847.711360000016,4868.222472000014
4863.755792000012,4847.711360000016,4855.733576000013
4855.844672000012,4847.711360000016,4851.778016000014
4848.778016000012,4821.933584000016,4835.355800000014
4809.778016000013,4817.022472000015,4813.400244000014
4809.778016000013,4813.378032000015,4811.578024000014
4809.778016000013,4813.378032000015,4811.578024000014
4809.778016000013,4813.378032000015,4811.578024000014
4809.778016000013,4807.378032000016,4808.578024000015
4800.4669040000135,4807.378032000016,4803.922468000015
4800.4669040000135,4807.378032000016,4803.922468000015
4800.4669040000135,4774.133568000016,4787.300236000015
4797.422464000013,4774.133568000016,4785.778016000015
4756.489128000013,4774.133568000016,4765.311348000014
4756.489128000013,4774.133568000016,4765.311348000014
4752.044688000012,4774.133568000016,4763.089128000014
4711.000224000011,4774.133568000016,4742.566896000013
4711.000224000011,4774.044680000015,4742.522452000014
4711.000224000011,4774.044680000015,4742.522452000014
4703.711344000012,4748.733560000017,4726.2224520000145
4703.711344000012,4748.733560000017,4726.2224520000145
4703.711344000012,4748.733560000017,4726.2224520000145
4703.711344000012,4748.733560000017,4726.2224520000145
4703.711344000012,4748.733560000017,4726.2224520000145
4703.711344000012,4723.533544000016,4713.622444000014
4686.400224000013,4723.533544000016,4704.966884000014
4686.400224000013,4723.533544000016,4704.966884000014
4673.977984000012,4723.533544000016,4698.755764000014
4673.977984000012,4723.533544000016,4698.755764000014
4673.977984000012,4723.533544000016,4698.755764000014
4673.977984000012,4701.711336000017,4687.844660000014
4673.977984000012,4701.711336000017,4687.844660000014
4673.977984000012,4701.711336000017,4687.844660000014
4673.977984000012,4685.578000000016,4679.777992000014
4673.977984000012,4685.578000000016,4679.777992000014
4673.977984000012,4685.578000000016,4679.777992000014
4673.977984000012,4678.289112000016,4676.133548000014
4673.977984000012,4667.133552000015,4670.555768000013
4673.977984000012,4667.133552000015,4670.555768000013
4652.933536000012,4667.133552000015,4660.0335440000135
4648.844640000011,4664.777984000015,4656.811312000013
4648.844640000011,4664.777984000015,4656.811312000013
4648.844640000011,4664.777984000015,4656.811312000013
4648.844640000011,4655.955776000016,4652.400208000014
4645.844632000011,4655.955776000016,4650.900204000014
4645.844632000011,4655.955776000016,4650.900204000014
4645.844632000011,4655.955776000016,4650.900204000014
4645.844632000011,4655.955776000016,4650.900204000014
4645.844632000011,4655.955776000016,4650.900204000014
4645.844632000011,4655.866904000016,4650.855768000014
4645.844632000011,4655.866904000016,4650.855768000014
4645.844632000011,4655.866904000016,4650.855768000014
4645.844632000011,4637.689128000016,4641.766880000014
4645.844632000011,4637.511352000017,4641.677992000014
4636.511288000011,4637.511352000017,4637.011320000014
4636.511288000011,4637.511352000017,4637.011320000014
4636.511288000011,4637.511352000017,4637.011320000014
4636.511288000011,4637.511352000017,4637.011320000014
4636.48908000001,4637.511352000017,4637.000216000013
4624.13352000001,4637.511352000017,4630.822436000013
4602.977952000009,4637.511352000017,4620.244652000013
4602.977952000009,4637.511352000017,4620.244652000013
4602.933512000009,4637.511352000017,4620.222432000013
4593.689056000008,4633.622488000016,4613.655772000013
4590.866824000008,4633.622488000016,4612.244656000012
4590.866824000008,4623.666952000015,4607.266888000011
4590.866824000008,4623.666952000015,4607.266888000011
4590.866824000008,4623.666952000015,4607.266888000011
4590.866824000008,4623.666952000015,4607.266888000011
4590.866824000008,4623.666952000015,4607.266888000011
4572.111256000007,4623.666952000015,4597.889104000011
4572.111256000007,4623.666952000015,4597.889104000011
4572.111256000007,4623.666952000015,4597.889104000011
4572.111256000007,4614.822512000014,4593.46688400001
4572.111256000007,4612.600288000015,4592.355772000012
4556.800152000009,4608.200304000016,4582.500228000013
4556.800152000009,4608.200304000016,4582.500228000013
4556.800152000009,4608.200304000016,4582.500228000013
4556.800152000009,4604.578096000015,4580.689124000011
4556.800152000009,4604.578096000015,4580.689124000011
4556.800152000009,4604.578096000015,4580.689124000011
4556.800152000009,4600.689208000016,4578.7446800000125
4547.000160000009,4600.689208000016,4573.844684000012
4547.000160000009,4600.689208000016,4573.844684000012
4531.5779600000105,4598.266992000016,4564.922476000013
4531.5779600000105,4598.266992000016,4564.922476000013
4531.5779600000105,4598.266992000016,4564.922476000013
4531.5779600000105,4593.444744000016,4562.511352000013
4531.5779600000105,4593.444744000016,4562.511352000013
4531.5779600000105,4593.444744000016,4562.511352000013
4531.5779600000105,4584.2892000000165,4557.9335800000135
4531.5779600000105,4584.2892000000165,4557.9335800000135
4531.5779600000105,4584.2892000000165,4557.9335800000135
4531.5779600000105,4584.2892000000165,4557.9335800000135
4530.355744000011,4584.2892000000165,4557.322472000014
4530.355744000011,4584.2892000000165,4557.322472000014
4530.355744000011,4584.2892000000165,4557.322472000014
4530.355744000011,4584.2892000000165,4557.322472000014
4530.355744000011,4584.2892000000165,4557.322472000014
4530.355744000011,4584.2892000000165,4557.322472000014
4530.355744000011,4584.2892000000165,4557.322472000014
4530.133520000012,4584.2892000000165,4557.211360000014
4530.133520000012,4584.2892000000165,4557.211360000014
4530.133520000012,4578.111400000016,4554.122460000014
4530.133520000012,4578.111400000016,4554.122460000014
4530.133520000012,4578.111400000016,4554.122460000014
