../results/qa194_reverse-2-01.csv,../results/qa194_reverse-2-02.csv,avg
5148.533688000015,5251.600248000012,5200.066968000014
5143.467016000015,5251.600248000012,5197.533632000013
5140.555904000015,5251.600248000012,5196.078076000013
5115.800344000015,5241.866912000011,5178.833628000013
5100.600360000015,5241.866912000011,5171.233636000014
5100.600360000015,5241.333584000011,5170.966972000013
5100.600360000015,5241.333584000011,5170.966972000013
5100.600360000015,5236.200248000011,5168.400304000013
5092.555920000016,5236.200248000011,5164.378084000014
5079.867024000016,5236.200248000011,5158.033636000013
5074.800360000016,5236.200248000011,5155.500304000014
5046.333688000016,5230.3113520000115,5138.322520000014
5044.978128000015,5229.711360000012,5137.344744000014
5044.978128000015,5229.4446960000105,5137.211412000013
5036.311464000015,5225.97803200001,5131.144748000012
5036.311464000015,5225.97803200001,5131.144748000012
5036.311464000015,5225.97803200001,5131.144748000012
5036.311464000015,5221.44470400001,5128.878084000013
5035.578128000016,5221.44470400001,5128.511416000012
5035.578128000016,5221.44470400001,5128.511416000012
5035.578128000016,5221.44470400001,5128.511416000012
5031.4225680000145,5221.44470400001,5126.4336360000125
5002.333672000014,5221.44470400001,5111.889188000012
5002.333672000014,5221.44470400001,5111.889188000012
5002.333672000014,5221.44470400001,5111.889188000012
5002.333672000014,5211.91139200001,5107.122532000012
4998.422560000015,5186.711392000009,5092.566976000013
4998.422560000015,5185.8002800000095,5092.111420000012
4998.422560000015,5179.40028000001,5088.911420000013
4989.200336000015,5179.40028000001,5084.300308000013
4981.600344000016,5179.40028000001,5080.500312000013
4969.111464000015,5156.3780480000105,5062.744756000013
4964.533688000016,5156.3780480000105,5060.455868000014
4964.533688000016,5156.3780480000105,5060.455868000014
4964.533688000016,5156.3780480000105,5060.455868000014
4960.467008000016,5156.3780480000105,5058.422528000014
4960.467008000016,5156.3780480000105,5058.422528000014
4954.666992000014,5156.3780480000105,5055.522520000012
4954.666992000014,5156.3780480000105,5055.522520000012
4954.666992000014,5156.3780480000105,5055.522520000012
4952.689200000013,5149.95580800001,5051.322504000012
4952.689200000013,5145.644696000009,5049.166948000011
4952.689200000013,5145.644696000009,5049.166948000011
4950.866976000014,5143.46692000001,5047.166948000012
4941.244752000014,5143.46692000001,5042.355836000012
4941.244752000014,5143.46692000001,5042.355836000012
4941.244752000014,5137.600256000011,5039.422504000013
4941.244752000014,5133.933592000011,5037.589172000013
4936.533632000013,5116.822480000011,5026.678056000012
4936.533632000013,5116.778040000011,5026.655836000013
4936.533632000013,5116.778040000011,5026.655836000013
4935.422520000015,5116.778040000011,5026.100280000013
4935.422520000015,5116.778040000011,5026.100280000013
4935.422520000015,5114.044704000011,5024.733612000013
4935.422520000015,5114.044704000011,5024.733612000013
4935.422520000015,5114.044704000011,5024.733612000013
4935.422520000015,5114.044704000011,5024.733612000013
4935.422520000015,5104.289144000011,5019.855832000013
4921.155856000015,5104.289144000011,5012.722500000013
4921.155856000015,5098.689152000012,5009.922504000013
4921.155856000015,5098.689152000012,5009.922504000013
4921.155856000015,5098.689152000012,5009.922504000013
4917.733624000014,5083.800272000011,5000.766948000013
4908.200296000015,5083.800272000011,4996.000284000013
4908.200296000015,5083.800272000011,4996.000284000013
4908.200296000015,5075.755816000012,4991.978056000014
4898.2669680000145,5075.755816000012,4987.011392000013
4897.089200000015,5059.711384000012,4978.400292000013
4897.089200000015,5059.711384000012,4978.400292000013
4897.089200000015,5059.711384000012,4978.400292000013
4897.089200000015,5039.311376000012,4968.200288000014
4897.089200000015,5039.311376000012,4968.200288000014
4897.089200000015,5039.311376000012,4968.200288000014
4884.800320000015,5039.311376000012,4962.055848000014
4882.955888000016,5039.311376000012,4961.133632000014
4882.955888000016,5039.311376000012,4961.133632000014
4882.955888000016,5039.311376000012,4961.133632000014
4882.955888000016,5039.311376000012,4961.133632000014
4882.955888000016,5039.311376000012,4961.133632000014
4882.955888000016,5039.311376000012,4961.133632000014
