../results/qa194_exp_rank_swap-01.csv,../results/qa194_exp_rank_swap-02.csv,avg
5805.711448000013,5828.7781040000145,5817.244776000014
5698.13364800001,5735.333648000015,5716.733648000012
5659.200312000013,5679.6447600000165,5669.422536000015
5585.46696800001,5602.6447520000165,5594.055860000013
5563.06697600001,5552.311440000015,5557.6892080000125
5542.95584800001,5522.644760000014,5532.800304000011
5521.422528000011,5519.622528000015,5520.522528000013
5505.66697600001,5486.911408000014,5496.289192000012
5491.200296000009,5480.311384000012,5485.755840000011
5487.933632000011,5479.4002800000135,5483.666956000012
5460.222520000009,5429.711368000014,5444.966944000012
5442.4447280000095,5426.444720000015,5434.444724000012
5427.82250400001,5422.422504000014,5425.122504000012
5408.955816000009,5394.000264000014,5401.478040000011
5382.51139200001,5366.178032000014,5374.344712000013
5369.666952000009,5366.178032000014,5367.9224920000115
5352.6446960000085,5341.333584000015,5346.989140000012
5339.53358400001,5341.333584000015,5340.433584000013
5334.82248000001,5331.733568000014,5333.278024000012
5303.5780240000095,5317.889120000015,5310.733572000012
5299.422464000011,5296.400208000017,5297.911336000014
5278.5335920000125,5291.2668720000165,5284.9002320000145
5264.444704000014,5291.2668720000165,5277.855788000015
5241.000232000013,5289.377976000015,5265.189104000014
5225.778024000011,5289.377976000015,5257.578000000013
5220.511360000011,5282.333536000016,5251.422448000014
5207.133576000011,5264.911320000014,5236.022448000012
5190.689136000012,5262.689104000012,5226.689120000012
5175.6002480000125,5255.689096000014,5215.644672000013
5170.978024000012,5247.1780000000135,5209.078012000013
5160.755784000012,5226.978000000014,5193.866892000013
5159.333568000011,5226.600224000013,5192.966896000013
5154.000232000011,5218.578000000013,5186.289116000013
5140.044680000011,5215.244648000013,5177.644664000012
5129.844688000011,5203.6668720000125,5166.755780000012
5129.844688000011,5184.133528000012,5156.989108000012
5117.000248000011,5182.000208000012,5149.500228000012
5117.000248000011,5179.266872000013,5148.133560000012
5117.000248000011,5158.3779920000125,5137.689120000012
5113.311344000011,5158.3779920000125,5135.844668000012
5113.311344000011,5158.3779920000125,5135.844668000012
5100.755784000009,5155.355760000013,5128.055772000011
5100.755784000009,5145.3113200000125,5123.033552000011
5074.444664000009,5144.333528000012,5109.38909600001
5066.377992000008,5144.333528000012,5105.3557600000095
5064.666888000008,5143.822432000013,5104.24466000001
5048.000216000008,5143.822432000013,5095.91132400001
5048.000216000008,5143.822432000013,5095.91132400001
5048.000216000008,5143.822432000013,5095.91132400001
5048.000216000008,5133.266872000013,5090.63354400001
5048.000216000008,5133.266872000013,5090.63354400001
5038.622456000007,5133.266872000013,5085.94466400001
5027.533568000008,5133.266872000013,5080.40022000001
5027.533568000008,5117.689104000013,5072.611336000011
5027.533568000008,5117.689104000013,5072.611336000011
5027.533568000008,5089.711312000011,5058.62244000001
5027.533568000008,5084.3779760000125,5055.95577200001
5027.533568000008,5084.3779760000125,5055.95577200001
5021.444688000008,5074.311304000012,5047.87799600001
5011.866928000009,5059.8001840000115,5035.8335560000105
5011.866928000009,5059.8001840000115,5035.8335560000105
5011.866928000009,5050.000184000011,5030.93355600001
5011.866928000009,5050.000184000011,5030.93355600001
5011.866928000009,5050.000184000011,5030.93355600001
4997.000288000009,5050.000184000011,5023.500236000011
4975.578040000008,5050.000184000011,5012.7891120000095
4967.511368000008,5050.000184000011,5008.755776000009
4967.511368000008,5050.000184000011,5008.755776000009
4962.378040000009,5050.000184000011,5006.18911200001
4962.378040000009,5050.000184000011,5006.18911200001
