../results/wi29_swap-1-01.csv,../results/wi29_swap-1-02.csv,avg
45051.51128000001,45959.711368,45505.611324000005
45024.84461600001,45748.978032,45386.911324
44968.289048000006,45739.911352,45354.1002
44920.75572000001,45739.911352,45330.333536000006
44916.133480000004,45739.911352,45328.02241600001
44916.133480000004,45739.911352,45328.02241600001
44916.133480000004,45377.866903999995,45147.000192
44906.644592000004,45279.20023999999,45092.922416
44906.644592000004,45279.20023999999,45092.922416
44906.644592000004,45244.666895999995,45075.655744
44906.644592000004,45244.666895999995,45075.655744
44906.644592000004,45244.666895999995,45075.655744
44810.111256,45221.93356,45016.022408
44734.93348,45063.533559999996,44899.233519999994
44734.93348,45039.444687999996,44887.189084
44636.333488000004,45018.200232,44827.26686
44633.95572,45018.200232,44826.077976
44633.95572,45018.200232,44826.077976
44633.95572,45018.200232,44826.077976
44611.511272,45018.200232,44814.855752
44611.511272,45018.200232,44814.855752
44611.511272,45018.200232,44814.855752
44611.511272,44824.400208,44717.955740000005
44571.466824,44824.400208,44697.933516000005
44507.20016,44824.400208,44665.800184
44453.51128,44824.400208,44638.955744
44381.51128,44824.400208,44602.955744
44381.51128,44824.400208,44602.955744
44381.51128,44824.400208,44602.955744
44381.51128,44824.400208,44602.955744
44291.000159999996,44824.400208,44557.700184
43994.044608000004,44824.400208,44409.222408
43994.044608000004,44824.400208,44409.222408
43994.044608000004,44689.66688800001,44341.855748
43994.044608000004,44689.66688800001,44341.855748
43994.044608000004,44652.57801600001,44323.311312000005
43994.044608000004,44652.57801600001,44323.311312000005
43959.71128,44613.200240000006,44286.455760000004
43959.71128,44408.933560000005,44184.322420000004
43959.71128,44330.13356000001,44144.92242
43705.40016,44326.28912,44015.844639999996
43705.40016,44326.28912,44015.844639999996
43705.40016,44326.28912,44015.844639999996
43705.40016,44279.622448,43992.511304
43633.600168000004,44276.955784,43955.277976
43633.600168000004,44276.955784,43955.277976
43633.600168000004,44236.778008,43935.189088
43633.600168000004,44233.04467200001,43933.32242000001
43633.600168000004,44233.04467200001,43933.32242000001
43633.600168000004,44233.04467200001,43933.32242000001
43633.600168000004,44093.68911200001,43863.644640000006
43633.600168000004,44093.68911200001,43863.644640000006
43633.600168000004,43979.02244,43806.311304
43633.600168000004,43875.266888000006,43754.43352800001
43633.600168000004,43875.266888000006,43754.43352800001
43633.600168000004,43875.266888000006,43754.43352800001
43633.600168000004,43733.11132,43683.355744
43633.600168000004,43560.48905600001,43597.04461200001
43633.600168000004,43552.48905600001,43593.04461200001
43633.600168000004,43552.48905600001,43593.04461200001
43633.600168000004,43552.48905600001,43593.04461200001
43633.600168000004,43488.133496,43560.866832
43628.000192,43488.133496,43558.066844
43628.000192,43488.133496,43558.066844
43628.000192,43488.133496,43558.066844
43628.000192,43488.133496,43558.066844
43615.889088,43488.133496,43552.011292
43598.889088,43463.2224,43531.055744
43598.889088,43463.2224,43531.055744
43560.93352,43463.2224,43512.077959999995
43560.93352,43463.2224,43512.077959999995
43560.93352,43463.2224,43512.077959999995
43560.93352,43454.71128,43507.822400000005
43560.93352,43454.71128,43507.822400000005
43560.93352,43454.71128,43507.822400000005
43556.889063999995,43454.71128,43505.800172
43556.889063999995,43454.71128,43505.800172
43556.889063999995,43454.71128,43505.800172
43556.889063999995,43454.71128,43505.800172
43556.889063999995,43454.71128,43505.800172
43555.000184000004,43454.71128,43504.855732
43555.000184000004,43454.71128,43504.855732
43555.000184000004,43454.71128,43504.855732
43555.000184000004,43454.71128,43504.855732
43553.0002,43294.42239200001,43423.71129600001
43553.0002,43294.42239200001,43423.71129600001
43448.644632,43152.400168,43300.5224
43448.644632,43152.400168,43300.5224
43403.444624,43152.400168,43277.922396
43403.444624,43152.400168,43277.922396
43375.777944,43152.400168,43264.089056
43375.777944,43152.400168,43264.089056
43375.777944,43152.400168,43264.089056
43375.777944,43152.400168,43264.089056
43360.689064000006,43152.400168,43256.544616
43360.689064000006,43152.400168,43256.544616
43287.489048,43152.400168,43219.944608000005
43287.489048,43118.711264000005,43203.100156
43287.489048,43118.711264000005,43203.100156
43287.489048,43118.711264000005,43203.100156
43287.489048,43118.711264000005,43203.100156
43287.489048,43118.711264000005,43203.100156
43287.489048,43118.711264000005,43203.100156
43287.489048,43118.711264000005,43203.100156
43287.489048,43118.711264000005,43203.100156
43255.48904,43118.711264000005,43187.100152
43212.11126400001,43118.711264000005,43165.41126400001
43160.06683200001,43118.711264000005,43139.38904800001
43036.689056,43118.711264000005,43077.70016000001
43036.689056,43041.08904000001,43038.88904800001
43036.689056,42983.75571200001,43010.22238400001
43036.689056,42983.75571200001,43010.22238400001
42957.555712,42983.75571200001,42970.65571200001
42957.555712,42983.75571200001,42970.65571200001
42921.555712,42983.75571200001,42952.65571200001
42921.555712,42983.75571200001,42952.65571200001
42921.555712,42983.75571200001,42952.65571200001
42921.555712,42983.75571200001,42952.65571200001
42921.555712,42983.75571200001,42952.65571200001
42921.555712,42983.75571200001,42952.65571200001
42921.555712,42983.75571200001,42952.65571200001
42820.422376,42983.75571200001,42902.08904400001
42818.08904,42983.75571200001,42900.922376
42818.08904,42983.75571200001,42900.922376
42818.08904,42983.75571200001,42900.922376
42818.08904,42983.75571200001,42900.922376
42818.08904,42983.75571200001,42900.922376
42818.08904,42983.75571200001,42900.922376
42641.222384,42983.75571200001,42812.489048
42575.822376000004,42983.75571200001,42779.789044000005
42575.822376000004,42983.75571200001,42779.789044000005
42575.822376000004,42983.75571200001,42779.789044000005
42575.822376000004,42983.75571200001,42779.789044000005
42536.644608,42983.75571200001,42760.20016000001
42536.644608,42700.64458400001,42618.644596000006
42536.644608,42551.80013600001,42544.222372000004
42536.644608,42551.80013600001,42544.222372000004
42536.644608,42551.80013600001,42544.222372000004
42536.644608,42551.80013600001,42544.222372000004
42536.644608,42551.80013600001,42544.222372000004
42536.644608,42551.80013600001,42544.222372000004
42536.644608,42551.80013600001,42544.222372000004
42536.644608,42551.80013600001,42544.222372000004
42536.644608,42551.80013600001,42544.222372000004
42536.644608,42551.80013600001,42544.222372000004
42536.644608,42514.46680000001,42525.555704000006
42536.644608,42514.46680000001,42525.555704000006
42536.644608,42514.46680000001,42525.555704000006
42536.644608,42514.46680000001,42525.555704000006
42536.644608,42514.46680000001,42525.555704000006
42536.644608,42514.46680000001,42525.555704000006
42536.644608,42498.244584,42517.444596
42536.644608,42498.244584,42517.444596
42536.644608,42393.400152,42465.02238
42536.644608,42026.37792800001,42281.511268
42536.644608,42026.37792800001,42281.511268
42536.644608,42026.37792800001,42281.511268
42536.644608,42026.37792800001,42281.511268
42536.644608,42005.955720000005,42271.300164
42536.644608,42005.955720000005,42271.300164
42480.822360000006,42005.955720000005,42243.38904000001
42480.822360000006,42005.955720000005,42243.38904000001
42480.822360000006,42005.955720000005,42243.38904000001
42480.822360000006,42005.955720000005,42243.38904000001
42480.822360000006,42005.955720000005,42243.38904000001
42480.822360000006,42005.955720000005,42243.38904000001
42480.822360000006,42005.955720000005,42243.38904000001
42480.822360000006,42005.955720000005,42243.38904000001
42480.822360000006,42005.955720000005,42243.38904000001
42480.822360000006,42005.955720000005,42243.38904000001
42480.822360000006,42005.955720000005,42243.38904000001
42480.822360000006,42005.955720000005,42243.38904000001
42480.822360000006,42005.955720000005,42243.38904000001
42480.822360000006,42005.955720000005,42243.38904000001
42480.822360000006,42005.955720000005,42243.38904000001
42480.822360000006,42005.955720000005,42243.38904000001
42480.822360000006,42005.955720000005,42243.38904000001
42480.822360000006,42005.955720000005,42243.38904000001
42480.822360000006,42005.955720000005,42243.38904000001
42480.822360000006,42005.955720000005,42243.38904000001
42480.822360000006,42005.955720000005,42243.38904000001
42475.689024,42005.955720000005,42240.822372
42475.689024,42005.955720000005,42240.822372
42475.689024,42005.955720000005,42240.822372
42403.689024,42005.955720000005,42204.822372
42142.46680000001,42005.955720000005,42074.21126000001
42142.46680000001,42005.955720000005,42074.21126000001
42142.46680000001,42005.955720000005,42074.21126000001
42142.46680000001,42005.955720000005,42074.21126000001
42142.46680000001,42005.955720000005,42074.21126000001
42142.46680000001,42005.955720000005,42074.21126000001
42142.46680000001,42005.955720000005,42074.21126000001
42142.46680000001,42005.955720000005,42074.21126000001
42142.46680000001,42005.955720000005,42074.21126000001
42142.46680000001,42005.955720000005,42074.21126000001
42142.46680000001,42005.955720000005,42074.21126000001
42142.46680000001,42005.955720000005,42074.21126000001
42142.46680000001,42005.955720000005,42074.21126000001
42142.46680000001,42005.955720000005,42074.21126000001
42142.46680000001,42005.955720000005,42074.21126000001
42142.46680000001,42005.955720000005,42074.21126000001
42142.46680000001,42005.955720000005,42074.21126000001
42142.46680000001,42005.955720000005,42074.21126000001
42142.46680000001,42005.955720000005,42074.21126000001
42142.46680000001,42005.955720000005,42074.21126000001
42142.46680000001,42005.955720000005,42074.21126000001
42142.46680000001,42005.955720000005,42074.21126000001
42142.46680000001,42005.955720000005,42074.21126000001
42142.46680000001,42005.955720000005,42074.21126000001
42114.689016000004,42005.955720000005,42060.32236800001
42114.689016000004,42005.955720000005,42060.32236800001
42114.689016000004,42002.689072,42058.689044
42114.689016000004,42002.689072,42058.689044
42091.244552000004,42002.689072,42046.966812
42091.244552000004,42002.689072,42046.966812
42091.244552000004,42002.689072,42046.966812
42091.244552000004,42002.689072,42046.966812
42091.244552000004,42002.689072,42046.966812
42091.244552000004,42002.689072,42046.966812
42091.244552000004,42002.689072,42046.966812
42091.244552000004,42002.689072,42046.966812
42091.244552000004,42002.689072,42046.966812
42091.244552000004,42002.689072,42046.966812
42091.244552000004,42002.689072,42046.966812
42091.244552000004,42002.689072,42046.966812
42055.311224000005,42002.689072,42029.00014800001
42055.311224000005,42002.689072,42029.00014800001
42055.311224000005,42002.689072,42029.00014800001
42055.311224000005,42002.689072,42029.00014800001
42055.311224000005,42002.689072,42029.00014800001
42055.311224000005,42002.689072,42029.00014800001
42055.311224000005,42002.689072,42029.00014800001
42055.311224000005,42002.689072,42029.00014800001
42055.311224000005,42002.689072,42029.00014800001
42055.311224000005,41972.64461600001,42013.977920000005
42055.311224000005,41972.64461600001,42013.977920000005
42055.311224000005,41972.64461600001,42013.977920000005
42055.311224000005,41972.64461600001,42013.977920000005
42055.311224000005,41972.64461600001,42013.977920000005
42055.311224000005,41972.64461600001,42013.977920000005
42055.311224000005,41972.64461600001,42013.977920000005
42055.311224000005,41972.64461600001,42013.977920000005
42055.311224000005,41972.64461600001,42013.977920000005
42055.311224000005,41972.64461600001,42013.977920000005
42055.311224000005,41972.64461600001,42013.977920000005
42055.311224000005,41677.62239200001,41866.46680800001
42006.73344800001,41677.62239200001,41842.17792000002
42006.73344800001,41677.62239200001,41842.17792000002
41995.622328000005,41677.62239200001,41836.62236000001
41995.622328000005,41677.62239200001,41836.62236000001
41913.17788,41677.62239200001,41795.40013600001
41913.17788,41677.62239200001,41795.40013600001
41913.17788,41677.62239200001,41795.40013600001
41913.17788,41677.62239200001,41795.40013600001
41911.02233600001,41677.62239200001,41794.32236400001
41911.02233600001,41677.62239200001,41794.32236400001
41911.02233600001,41677.62239200001,41794.32236400001
41911.02233600001,41677.62239200001,41794.32236400001
41911.02233600001,41657.266824000006,41784.14458000001
41911.02233600001,41657.266824000006,41784.14458000001
41911.02233600001,41657.266824000006,41784.14458000001
41911.02233600001,41657.266824000006,41784.14458000001
41911.02233600001,41657.266824000006,41784.14458000001
41911.02233600001,41657.266824000006,41784.14458000001
41911.02233600001,41657.266824000006,41784.14458000001
41797.91122400001,41619.02238400001,41708.46680400001
