../results/qa194_exp_rank_swap3-01.csv,../results/qa194_exp_rank_swap3-02.csv,avg
5903.622584000015,5870.422536000014,5887.022560000014
5682.311432000016,5753.778096000015,5718.044764000015
5620.4892240000145,5662.889144000015,5641.689184000015
5558.600304000016,5575.600248000015,5567.100276000016
5501.733664000015,5502.955840000013,5502.344752000014
5471.111448000015,5475.155832000014,5473.133640000015
5440.178088000015,5424.444712000014,5432.311400000015
5351.400328000018,5389.755840000014,5370.578084000016
5320.844760000018,5322.755824000014,5321.800292000016
5315.444768000017,5309.889144000015,5312.6669560000155
5298.044760000016,5280.755840000016,5289.400300000016
5288.489200000016,5266.689176000015,5277.589188000016
5230.778064000016,5255.9336480000175,5243.3558560000165
5189.622520000015,5250.911432000017,5220.266976000016
5161.311392000014,5250.911432000017,5206.111412000016
5154.578048000013,5226.644728000015,5190.611388000014
5131.289168000012,5226.644728000015,5178.966948000014
5098.266944000012,5219.555824000015,5158.911384000014
5098.266944000012,5187.778032000014,5143.022488000013
5093.955824000012,5187.778032000014,5140.866928000013
5068.755808000013,5186.800256000014,5127.778032000013
5068.755808000013,5180.466928000015,5124.611368000014
5028.711384000014,5164.933584000014,5096.822484000014
5007.866960000015,5158.822464000014,5083.344712000015
5007.866960000015,5139.0446880000145,5073.455824000015
5007.866960000015,5124.1113520000135,5065.989156000014
5003.511408000015,5122.355792000014,5062.933600000015
5002.178064000013,5122.355792000014,5062.266928000014
4997.800296000015,5122.355792000014,5060.078044000014
4997.800296000015,5099.711352000014,5048.755824000014
4997.800296000015,5060.689152000014,5029.244724000015
4997.800296000015,5042.711384000015,5020.255840000014
4997.800296000015,5037.466928000015,5017.633612000015
4997.800296000015,5037.466928000015,5017.633612000015
4996.155832000013,5027.200272000016,5011.678052000015
4978.711392000014,5017.644712000017,4998.178052000016
4978.711392000014,5015.933608000018,4997.322500000016
4961.1113840000135,5015.933608000018,4988.522496000016
4936.355824000013,5015.933608000018,4976.144716000015
4933.5336080000125,5015.933608000018,4974.733608000015
4927.866936000011,5014.244720000018,4971.055828000015
4895.266928000013,4990.555824000016,4942.911376000015
4895.266928000013,4958.978072000015,4927.122500000014
4895.266928000013,4958.978072000015,4927.122500000014
4895.266928000013,4958.978072000015,4927.122500000014
4889.089160000014,4958.978072000015,4924.033616000015
4880.089184000014,4958.978072000015,4919.533628000015
4880.089184000014,4958.978072000015,4919.533628000015
