../results/wi29_exp_rank_swap-01.csv,../results/wi29_exp_rank_swap-02.csv,avg
45020.911264,44680.489056,44850.70016
45020.911264,44674.889056,44847.900160000005
45020.911264,44674.889056,44847.900160000005
44990.2446,44545.089056000004,44767.666828
44990.2446,44474.089056000004,44732.166828
44990.2446,44474.089056000004,44732.166828
44978.222384,44452.577935999994,44715.40016
44978.222384,44452.577935999994,44715.40016
44800.822376000004,44452.577935999994,44626.700156
44792.822376000004,44209.822384,44501.32238
44792.822376000004,44057.889056,44425.355716000005
44792.822376000004,44053.822384,44423.32238
44792.822376000004,44053.822384,44423.32238
44703.77792800001,44053.822384,44378.800156000005
44585.622368000004,44053.822384,44319.722376000005
44585.622368000004,44053.822384,44319.722376000005
44585.622368000004,44053.822384,44319.722376000005
44488.555696,44053.822384,44271.18904
44488.555696,44033.955720000005,44261.255708000004
44318.333464,43964.622384,44141.477924000006
44318.333464,43964.622384,44141.477924000006
44318.333464,43964.622384,44141.477924000006
44318.333464,43840.222391999996,44079.277927999996
44318.333464,43840.222391999996,44079.277927999996
44226.73345600001,43815.466832,44021.100144000004
44226.73345600001,43815.466832,44021.100144000004
44226.155679999996,43815.466832,44020.811256
44226.155679999996,43815.466832,44020.811256
44173.866792,43815.466832,43994.666811999996
44127.777912000005,43782.91128000001,43955.34459600001
44127.777912000005,43782.91128000001,43955.34459600001
44127.777912000005,43782.91128000001,43955.34459600001
44127.777912000005,43782.91128000001,43955.34459600001
44127.777912000005,43782.91128000001,43955.34459600001
44127.777912000005,43761.177944,43944.47792800001
44063.066808,43761.177944,43912.122376
43980.73347200001,43761.177944,43870.95570800001
43915.24458400001,43761.177944,43838.211264000005
43915.24458400001,43761.177944,43838.211264000005
43915.24458400001,43635.000176,43775.12238
43915.24458400001,43635.000176,43775.12238
43915.24458400001,43635.000176,43775.12238
43915.24458400001,43635.000176,43775.12238
43911.82235200001,43635.000176,43773.41126400001
43911.82235200001,43635.000176,43773.41126400001
43911.82235200001,43623.177952,43767.50015200001
43911.82235200001,43623.177952,43767.50015200001
43909.089016000005,43623.177952,43766.133484000005
43885.02235200001,43502.644608,43693.83348
43885.02235200001,43395.977928,43640.500140000004
43775.800136000005,43278.73347200001,43527.266804000006
43775.800136000005,43177.20014400001,43476.500140000004
43775.800136000005,43177.20014400001,43476.500140000004
43775.800136000005,43120.133480000004,43447.966808000005
43775.800136000005,43120.133480000004,43447.966808000005
43775.800136000005,43120.133480000004,43447.966808000005
43775.800136000005,43056.77792800001,43416.28903200001
43775.800136000005,43056.77792800001,43416.28903200001
43775.800136000005,42895.333488000004,43335.566812000005
43775.800136000005,42895.333488000004,43335.566812000005
