../results/dj38_swap-2-01.csv,../results/dj38_swap-2-02.csv,avg
10555.600216000008,10308.244632000005,10431.922424000008
10241.244656000004,9911.822472000007,10076.533564000005
10076.133520000005,9724.266912000006,9900.200216000005
9975.844592000007,9600.778024000005,9788.311308000006
9904.622400000004,9444.511312000006,9674.566856000005
9748.200160000002,9331.800208000006,9540.000184000004
9688.711264000003,9260.733520000003,9474.722392000003
9617.466824000001,9205.755752000005,9411.611288000004
9603.955728000003,9092.333528000003,9348.144628000002
9572.977952000001,9029.800192000002,9301.389072000002
9535.977912,9008.377960000005,9272.177936000004
9515.777912,9008.377944000003,9262.077928000002
9511.533456,8863.066832000004,9187.300144
9460.73348,8840.533520000005,9150.633500000004
9439.555704000002,8816.133512000006,9127.844608000003
9414.489024000002,8816.133512000006,9115.311268000005
9398.733480000003,8816.133512000006,9107.433496000005
9301.311256,8816.133512000006,9058.722384000004
9272.555712000003,8816.133512000006,9044.344612000004
9217.466832000002,8815.755728000004,9016.611280000003
9206.622392000003,8815.755728000004,9011.189060000004
9177.000176000003,8801.311296000005,8989.155736000004
9169.200176000004,8791.777952000004,8980.489064000005
9169.200176000004,8735.444616000004,8952.322396000003
9167.800184000003,8735.444616000004,8951.622400000004
9145.333520000004,8726.355720000003,8935.844620000003
9133.222424000005,8716.622360000003,8924.922392000004
9108.200208000006,8709.266808000004,8908.733508000005
9108.200208000006,8702.066816000004,8905.133512000004
9046.355768000005,8702.066816000004,8874.211292000004
9013.755768000005,8689.977928000004,8851.866848000005
8984.511304000003,8670.000144000003,8827.255724000002
8967.866856000002,8670.000144000003,8818.933500000003
8922.466840000003,8670.000144000003,8796.233492000003
8922.466840000003,8670.000144000003,8796.233492000003
8922.466840000003,8670.000144000003,8796.233492000003
8922.466840000003,8670.000144000003,8796.233492000003
8922.466840000003,8668.933464000003,8795.700152000003
8907.022392,8584.577920000003,8745.800156000001
8860.533503999999,8577.577928000004,8719.055716000003
8860.533503999999,8572.511280000004,8716.522392000003
8839.177935999998,8565.889048000005,8702.533492000002
8832.622384,8565.889048000005,8699.255716000003
8832.622384,8565.889048000005,8699.255716000003
8832.622384,8531.866832000003,8682.244608
8747.244607999999,8531.866832000003,8639.55572
8747.244607999999,8531.866832000003,8639.55572
8721.777952,8522.066840000003,8621.922396000002
8690.111288000002,8522.066840000003,8606.089064000003
8690.111288000002,8477.000168000002,8583.555728000003
8679.466840000001,8477.000168000002,8578.233504000002
8679.466840000001,8477.000168000002,8578.233504000002
8677.555728000001,8477.000168000002,8577.277948000003
8677.555728000001,8464.133496000002,8570.844612
8660.666856000002,8464.133496000002,8562.400176000003
8651.311296000002,8464.133496000002,8557.722396000001
8643.733512,8464.133496000002,8553.933504
8612.155728000002,8464.133496000002,8538.144612000002
8612.155728000002,8464.133496000002,8538.144612000002
8609.86684,8464.133496000002,8537.000168000002
8608.866832000002,8380.533488000001,8494.70016
8603.955720000002,8380.533488000001,8492.244604000001
8603.955720000002,8380.533488000001,8492.244604000001
8603.955720000002,8380.533488000001,8492.244604000001
8575.155688,8380.533488000001,8477.844588
8575.155688,8380.533488000001,8477.844588
8575.155688,8380.533488000001,8477.844588
8575.155688,8380.533488000001,8477.844588
8575.155688,8380.533488000001,8477.844588
8575.155688,8380.533488000001,8477.844588
8575.155688,8380.533488000001,8477.844588
8563.111248,8380.533488000001,8471.822368000001
8563.111248,8380.533488000001,8471.822368000001
8534.311239999999,8380.533488000001,8457.422364
8534.311239999999,8380.533488000001,8457.422364
8534.311239999999,8367.622368000002,8450.966804
8472.022319999998,8367.622368000002,8419.822344
8470.733439999998,8311.800160000004,8391.266800000001
8470.733439999998,8311.800160000004,8391.266800000001
8470.733439999998,8311.800160000004,8391.266800000001
8470.733439999998,8311.800160000004,8391.266800000001
8466.555664,8311.800160000004,8389.177912000003
8448.755656,8311.800160000004,8380.277908000002
8448.755656,8311.800160000004,8380.277908000002
8399.066767999997,8311.622384000006,8355.344576000001
8391.222319999999,8311.622384000006,8351.422352000001
8387.400071999999,8311.622384000006,8349.511228000003
8387.400071999999,8311.622384000006,8349.511228000003
8387.400071999999,8311.622384000006,8349.511228000003
8387.400071999999,8311.622384000006,8349.511228000003
8387.400071999999,8311.622384000006,8349.511228000003
8387.400071999999,8311.622384000006,8349.511228000003
8377.133408,8311.622384000006,8344.377896000002
8377.133408,8311.622384000006,8344.377896000002
8377.133408,8311.622384000006,8344.377896000002
8377.133408,8311.622384000006,8344.377896000002
8377.133408,8311.622384000006,8344.377896000002
8377.133408,8311.622384000006,8344.377896000002
8377.133408,8311.622384000006,8344.377896000002
8377.133408,8306.422400000003,8341.777904000002
8377.133408,8306.422400000003,8341.777904000002
8377.133408,8306.422400000003,8341.777904000002
8377.133408,8306.422400000003,8341.777904000002
8377.133408,8306.422400000003,8341.777904000002
8377.133408,8296.222376000002,8336.677892
8363.066751999999,8296.222376000002,8329.644564
8363.066751999999,8296.222376000002,8329.644564
8363.066751999999,8296.222376000002,8329.644564
8344.755639999998,8296.222376000002,8320.489008
8316.177864,8268.866816000002,8292.52234
8316.177864,8268.866816000002,8292.52234
8316.177864,8268.866816000002,8292.52234
8286.822303999998,8221.444608000003,8254.133456
8286.822303999998,8221.444608000003,8254.133456
8286.822303999998,8194.889064000003,8240.855684
8286.822303999998,8194.889064000003,8240.855684
8284.133431999997,8194.889064000003,8239.511247999999
8284.133431999997,8194.889064000003,8239.511247999999
8284.133431999997,8194.889064000003,8239.511247999999
8284.133431999997,8194.889064000003,8239.511247999999
8277.600095999998,8194.889064000003,8236.24458
8277.600095999998,8194.889064000003,8236.24458
8277.600095999998,8189.133512000003,8233.366804000001
