../results/wi29_mutator-002-01.csv,../results/wi29_mutator-002-02.csv,avg
52377.51133600001,53460.022423999995,52918.76688
51510.533544000005,52370.000224,51940.266884000004
50778.13348800001,51410.711336,51094.422412
49804.044592000006,51027.08910399999,50415.566848
49241.533504000006,50485.777984,49863.655744
49079.33349600001,49789.20019999999,49434.266848
48523.68904800001,49128.666864,48826.177956
48134.511296000004,48875.911288,48505.21129200001
48105.97796800001,48751.444608000005,48428.711288000006
47818.311288,48497.08904800001,48157.700168
47471.77798400001,48310.200143999995,47890.989064
47145.577976,48298.422368,47722.000172
47057.289088000005,48126.71124,47592.000164
46854.62242400001,47969.000144,47411.811284
46792.511336,47967.000136,47379.75573600001
46721.31132,47734.555664,47227.933492
46504.289104,47706.488992,47105.389048
46371.533552,47699.311216,47035.422384000005
46242.15577599999,47431.222336,46836.689055999996
46187.866888,47275.822376,46731.84463199999
46017.066896000004,47275.822376,46646.444636
45832.089104000006,47218.400144000014,46525.24462400001
45832.089104000006,46789.80013600001,46310.94462000001
45832.089104000006,46504.044592000006,46168.066848
45791.08911200001,46504.044592000006,46147.566852
45777.48911200001,46460.000152,46118.744632
45777.48911200001,46460.000152,46118.744632
45777.48911200001,46460.000152,46118.744632
45777.48911200001,46137.48904800002,45957.489080000014
45699.022432000005,46137.48904800002,45918.25574000001
45699.022432000005,45728.289048000006,45713.65574
45552.44466400001,45728.289048000006,45640.36685600001
45552.44466400001,45728.289048000006,45640.36685600001
45552.44466400001,45716.955712,45634.700188
45433.644656000004,45695.73348000001,45564.68906800001
45433.644656000004,45695.73348000001,45564.68906800001
45345.977992000015,45597.46680000002,45471.72239600001
45183.378000000004,45597.46680000002,45390.42240000001
45183.378000000004,45532.24457600001,45357.81128800001
45137.266928000005,45335.111264000014,45236.18909600001
45137.266928000005,45335.111264000014,45236.18909600001
45137.266928000005,45335.111264000014,45236.18909600001
45137.266928000005,45309.42236800001,45223.344648000006
45110.57804000001,45309.42236800001,45210.00020400001
45079.48915200001,45309.42236800001,45194.45576000001
45079.48915200001,45309.42236800001,45194.45576000001
45051.266928000005,45214.8446,45133.055764000004
45051.266928000005,45214.8446,45133.055764000004
44654.578024,44938.11127200001,44796.344648000006
44594.62246400001,44938.11127200001,44766.36686800001
44475.9558,44938.11127200001,44707.033536
44475.9558,44938.11127200001,44707.033536
44475.9558,44938.11127200001,44707.033536
44475.9558,44938.11127200001,44707.033536
44475.9558,44938.11127200001,44707.033536
44475.9558,44734.177944,44605.066872
44475.9558,44734.177944,44605.066872
44475.9558,44519.622368000004,44497.789084000004
44475.9558,44519.622368000004,44497.789084000004
44475.9558,44519.622368000004,44497.789084000004
44475.9558,44437.089024,44456.522412000006
44475.9558,44437.089024,44456.522412000006
44475.68912800001,44437.089024,44456.38907600001
44475.68912800001,44361.800136000005,44418.74463200001
44475.68912800001,44361.800136000005,44418.74463200001
44475.68912800001,44354.022352,44414.855740000006
44385.22247200001,44354.022352,44369.622412000004
44244.111344000004,44354.022352,44299.066848
44178.444672000005,44354.022352,44266.233512000006
44178.444672000005,44273.51124000001,44225.977956
44178.444672000005,44273.51124000001,44225.977956
44178.444672000005,44200.20016000001,44189.32241600001
44178.444672000005,44200.20016000001,44189.32241600001
44178.444672000005,44200.20016000001,44189.32241600001
44178.444672000005,44200.20016000001,44189.32241600001
44178.444672000005,44200.20016000001,44189.32241600001
44178.444672000005,44165.95571200001,44172.200192000004
44178.444672000005,44165.95571200001,44172.200192000004
44178.444672000005,44165.95571200001,44172.200192000004
44178.444672000005,44165.95571200001,44172.200192000004
44178.444672000005,44165.95571200001,44172.200192000004
44087.778000000006,44165.95571200001,44126.86685600001
44087.778000000006,44165.95571200001,44126.86685600001
44066.66688800001,44165.95571200001,44116.31130000001
44066.66688800001,44165.95571200001,44116.31130000001
44066.66688800001,44165.95571200001,44116.31130000001
44066.66688800001,44118.06683200001,44092.36686000001
44033.66688000001,44058.911272,44046.289076
44033.66688000001,44058.911272,44046.289076
44033.66688000001,44058.911272,44046.289076
44032.022416000014,44058.911272,44045.46684400001
43737.533544000005,44058.911272,43898.222408
43737.533544000005,44058.911272,43898.222408
43737.533544000005,43981.044616,43859.28908
43737.533544000005,43946.111288,43841.822416
43730.24465600001,43946.111288,43838.177972000005
43730.24465600001,43946.111288,43838.177972000005
43421.42242400001,43946.111288,43683.766856
43334.86686400001,43940.955760000004,43637.91131200001
43334.86686400001,43940.955760000004,43637.91131200001
43334.86686400001,43940.955760000004,43637.91131200001
43334.86686400001,43940.955760000004,43637.91131200001
43334.86686400001,43940.955760000004,43637.91131200001
43315.266856,43940.955760000004,43628.11130800001
42990.35575200001,43824.866872,43407.61131200001
42990.35575200001,43793.911296000006,43392.133524000004
42990.35575200001,43793.911296000006,43392.133524000004
42990.35575200001,43793.911296000006,43392.133524000004
42990.35575200001,43793.911296000006,43392.133524000004
42990.35575200001,43793.911296000006,43392.133524000004
42972.06684000001,43793.911296000006,43382.98906800001
42926.177952,43793.911296000006,43360.044624
42926.177952,43793.911296000006,43360.044624
