../results/dj38_shuffle-000-01.csv,../results/dj38_shuffle-000-02.csv,avg
10052.600192000005,10729.866848000007,10391.233520000005
9777.444664000004,10433.533536000004,10105.489100000004
9631.977984000005,10327.244632000005,9979.611308000005
9527.822424000004,9985.022392000003,9756.422408000002
9430.911320000003,9947.911312000004,9689.411316000003
9395.778008000003,9822.377936000004,9609.077972000003
9375.822464,9721.711312000005,9548.766888000002
9332.333568000002,9599.822384000005,9466.077976000004
9249.111344,9556.044600000001,9402.577972000001
9194.955792000002,9532.555720000002,9363.755756000002
9167.755768,9424.844632,9296.300200000001
9127.422432000001,9374.777968000002,9251.1002
9092.955768000002,9373.089072000002,9233.022420000001
9092.955768000002,9365.311296000002,9229.133532000002
9092.955768000002,9257.711296000001,9175.333532
9030.06688,9198.044640000002,9114.055760000001
9030.06688,9090.68904,9060.37796
9023.155736000002,9056.577944,9039.866840000002
8978.333520000002,9056.577944,9017.455732000002
8978.333520000002,9046.57796,9012.455740000001
8923.777952000002,9037.689064000002,8980.733508000001
8919.844600000002,9016.911280000002,8968.377940000002
8919.844600000002,9016.911280000002,8968.377940000002
8919.844600000002,9010.400176000001,8965.122388000002
8919.844600000002,8979.155736,8949.500168000002
8919.844600000002,8979.155736,8949.500168000002
8897.311272000003,8979.155736,8938.233504000002
8897.311272000003,8931.933520000002,8914.622396000002
8897.311272000003,8931.933520000002,8914.622396000002
8897.311272000003,8931.933520000002,8914.622396000002
8897.311272000003,8931.933520000002,8914.622396000002
8897.311272000003,8894.111296000003,8895.711284000003
8897.311272000003,8858.289072000003,8877.800172000003
8894.555720000002,8858.289072000003,8876.422396000002
8854.289072000003,8841.777944000003,8848.033508000004
8834.711280000003,8841.777944000003,8838.244612000002
8834.711280000003,8841.777944000003,8838.244612000002
8834.711280000003,8809.733480000003,8822.222380000003
8773.244616000004,8809.733480000003,8791.489048000003
8719.177960000003,8794.444592000003,8756.811276000004
8642.733536000003,8794.444592000003,8718.589064000003
8632.666872000005,8787.822368000003,8710.244620000005
8632.666872000005,8787.822368000003,8710.244620000005
8589.822448000004,8768.111264000005,8678.966856000005
8589.822448000004,8747.977928000004,8668.900188000003
8589.822448000004,8747.977928000004,8668.900188000003
8589.822448000004,8747.977928000004,8668.900188000003
8589.822448000004,8737.800160000003,8663.811304000003
8516.778016000004,8713.244592000001,8615.011304000003
8516.778016000004,8713.244592000001,8615.011304000003
8516.778016000004,8713.244592000001,8615.011304000003
8505.889120000002,8705.022368,8605.455744
8505.889120000002,8693.977928000002,8599.933524000002
8505.889120000002,8681.733472,8593.811296
8464.644672000002,8681.733472,8573.189072000001
8464.644672000002,8681.733472,8573.189072000001
8461.022432000002,8668.844584,8564.933508000002
8448.400208000003,8668.844584,8558.622396000002
8439.444664000002,8645.400144000001,8542.422404
8439.444664000002,8645.400144000001,8542.422404
8439.444664000002,8636.000144,8537.722404
8420.778016000002,8618.711256000002,8519.744636000003
8384.800224,8618.711256000002,8501.75574
8368.222440000001,8615.555688,8491.889064
8368.222440000001,8578.422344,8473.322392000002
8368.222440000001,8541.466800000002,8454.844620000002
8368.222440000001,8541.466800000002,8454.844620000002
8355.800216000001,8541.466800000002,8448.633508000003
8355.800216000001,8539.155688,8447.477952000001
8340.622424000001,8456.089040000004,8398.355732000004
8340.622424000001,8456.089040000004,8398.355732000004
8320.400216000002,8456.089040000004,8388.244628000004
8320.400216000002,8456.089040000004,8388.244628000004
8315.755784,8456.089040000004,8385.922412000004
8315.755784,8428.400152000004,8372.077968000001
8315.755784,8428.400152000004,8372.077968000001
8315.755784,8428.400152000004,8372.077968000001
8315.755784,8394.866808000002,8355.311296000002
8315.755784,8394.866808000002,8355.311296000002
8315.755784,8394.866808000002,8355.311296000002
8315.755784,8394.866808000002,8355.311296000002
8315.755784,8394.866808000002,8355.311296000002
8315.755784,8380.777928000003,8348.266856000002
8315.755784,8380.777928000003,8348.266856000002
8315.755784,8370.000136000002,8342.877960000002
8315.755784,8370.000136000002,8342.877960000002
8308.355800000001,8370.000136000002,8339.177968000002
8308.355800000001,8370.000136000002,8339.177968000002
8299.089144000001,8370.000136000002,8334.544640000002
8277.022472,8370.000136000002,8323.511304000001
8277.022472,8370.000136000002,8323.511304000001
8277.022472,8370.000136000002,8323.511304000001
8277.022472,8360.222344000003,8318.622408000003
8277.022472,8360.222344000003,8318.622408000003
8277.022472,8360.222344000003,8318.622408000003
8277.022472,8360.222344000003,8318.622408000003
8277.022472,8360.222344000003,8318.622408000003
8277.022472,8360.222344000003,8318.622408000003
8277.022472,8360.222344000003,8318.622408000003
8277.022472,8360.222344000003,8318.622408000003
8277.022472,8360.222344000003,8318.622408000003
8277.022472,8360.222344000003,8318.622408000003
8277.022472,8360.222344000003,8318.622408000003
8277.022472,8360.222344000003,8318.622408000003
8264.155808000003,8360.222344000003,8312.189076000002
8264.155808000003,8360.222344000003,8312.189076000002
8264.155808000003,8360.222344000003,8312.189076000002
8264.155808000003,8360.222344000003,8312.189076000002
8264.155808000003,8360.222344000003,8312.189076000002
8264.155808000003,8360.222344000003,8312.189076000002
8264.155808000003,8360.222344000003,8312.189076000002
8264.155808000003,8360.222344000003,8312.189076000002
8264.155808000003,8360.222344000003,8312.189076000002
8264.155808000003,8360.222344000003,8312.189076000002
8243.289152000005,8360.222344000003,8301.755748000003
8236.266920000005,8360.222344000003,8298.244632000005
8201.755816000004,8360.222344000003,8280.989080000003
8201.755816000004,8360.222344000003,8280.989080000003
8201.755816000004,8360.222344000003,8280.989080000003
8201.755816000004,8360.222344000003,8280.989080000003
8201.755816000004,8360.222344000003,8280.989080000003
8201.755816000004,8360.222344000003,8280.989080000003
8201.755816000004,8357.066784000002,8279.411300000003
8192.111384000005,8357.066784000002,8274.589084000003
8192.111384000005,8337.822336000003,8264.966860000004
8192.111384000005,8325.955672000004,8259.033528000004
8089.266920000003,8320.755672000003,8205.011296000002
8089.266920000003,8319.889016000003,8204.577968000003
8089.266920000003,8303.466800000002,8196.366860000002
8089.266920000003,8303.466800000002,8196.366860000002
8089.266920000003,8284.755688000001,8187.0113040000015
8089.266920000003,8253.377928000004,8171.322424000004
8089.266920000003,8253.377928000004,8171.322424000004
8089.266920000003,8253.377928000004,8171.322424000004
8089.266920000003,8253.377928000004,8171.322424000004
8089.266920000003,8253.377928000004,8171.322424000004
8089.266920000003,8253.377928000004,8171.322424000004
8089.266920000003,8253.377928000004,8171.322424000004
8089.266920000003,8253.377928000004,8171.322424000004
8089.266920000003,8249.777920000002,8169.522420000003
8089.266920000003,8249.777920000002,8169.522420000003
8089.266920000003,8249.777920000002,8169.522420000003
8089.266920000003,8249.777920000002,8169.522420000003
8089.266920000003,8217.244576000003,8153.255748000003
8089.266920000003,8217.244576000003,8153.255748000003
8089.266920000003,8217.244576000003,8153.255748000003
8089.266920000003,8217.244576000003,8153.255748000003
8089.266920000003,8217.244576000003,8153.255748000003
8089.266920000003,8166.0001440000015,8127.633532000002
8089.266920000003,8166.0001440000015,8127.633532000002
8089.266920000003,8166.0001440000015,8127.633532000002
8089.266920000003,8166.0001440000015,8127.633532000002
8089.266920000003,8166.0001440000015,8127.633532000002
8063.311376000003,8166.0001440000015,8114.655760000002
8063.311376000003,8166.0001440000015,8114.655760000002
8063.311376000003,8160.200152000001,8111.755764000002
8063.311376000003,8160.200152000001,8111.755764000002
8048.311384000001,8160.200152000001,8104.255768000001
8048.311384000001,8159.400144000001,8103.855764000002
8048.311384000001,8159.400144000001,8103.855764000002
8048.311384000001,8159.400144000001,8103.855764000002
8048.311384000001,8159.400144000001,8103.855764000002
7985.200272000003,8148.666832000002,8066.933552000002
7985.200272000003,8148.666832000002,8066.933552000002
7985.200272000003,8148.666832000002,8066.933552000002
7985.200272000003,8148.666832000002,8066.933552000002
7985.200272000003,8139.200168000001,8062.200220000002
7985.200272000003,8137.733496,8061.466884000001
7985.200272000003,8137.733496,8061.466884000001
7985.200272000003,8137.733496,8061.466884000001
7985.200272000003,8137.733496,8061.466884000001
7985.200272000003,8137.733496,8061.466884000001
7985.200272000003,8137.733496,8061.466884000001
7985.200272000003,8114.689056,8049.9446640000015
7985.200272000003,8114.689056,8049.9446640000015
7985.200272000003,8085.911280000001,8035.555776000002
7920.422480000001,8085.911280000001,8003.166880000001
7906.333600000002,8085.911280000001,7996.122440000001
7906.333600000002,8076.955744000002,7991.644672000002
7906.333600000002,8076.955744000002,7991.644672000002
7878.311392000003,8069.777960000001,7974.044676000002
7878.311392000003,8069.777960000001,7974.044676000002
7878.311392000003,8069.777960000001,7974.044676000002
7878.311392000003,8069.777960000001,7974.044676000002
7878.311392000003,8069.777960000001,7974.044676000002
7878.311392000003,8069.777960000001,7974.044676000002
7878.311392000003,8069.777960000001,7974.044676000002
7878.311392000003,8069.777960000001,7974.044676000002
7878.311392000003,8069.777960000001,7974.044676000002
7878.311392000003,8033.866864000001,7956.089128000002
7878.311392000003,8033.866864000001,7956.089128000002
7872.489168000005,8026.089104000001,7949.289136000003
7872.489168000005,8026.089104000001,7949.289136000003
7872.489168000005,8026.089104000001,7949.289136000003
7872.489168000005,8026.089104000001,7949.289136000003
7872.489168000005,8026.089104000001,7949.289136000003
7872.489168000005,8026.089104000001,7949.289136000003
7867.155840000005,8026.089104000001,7946.622472000003
7867.155840000005,8026.089104000001,7946.622472000003
7867.155840000005,8026.089104000001,7946.622472000003
7867.155840000005,8026.089104000001,7946.622472000003
7867.155840000005,8026.089104000001,7946.622472000003
