../results/dj38_exp_rank_mutator000-01.csv,../results/dj38_exp_rank_mutator000-02.csv,avg
10463.73344,10498.844624000005,10481.289032000002
10271.066752000002,10332.955704000005,10302.011228000003
10157.444552000003,10149.400160000005,10153.422356000003
10062.066776,10029.177912000003,10045.622344000001
9978.33344,9980.711296000003,9979.522368000002
9820.600152,9936.777968000006,9878.689060000004
9820.600152,9865.600160000004,9843.100156000002
9757.777936,9776.422376,9767.100156
9748.644608,9721.111280000003,9734.877944000002
9746.555719999998,9717.222384,9731.889051999999
9728.51128,9610.955704000004,9669.733492000003
9728.51128,9570.289016000002,9649.400148
9728.51128,9565.755680000002,9647.13348
9690.177968000002,9483.111240000004,9586.644604000003
9671.955736000002,9451.866808000002,9561.911272000001
9642.13348,9438.600152000005,9540.366816000002
9563.577920000002,9334.422384000003,9449.000152000002
9559.177928000001,9274.911256000003,9417.044592000002
9520.355696000002,9269.800152000003,9395.077924000003
9515.266816000003,9234.533488000005,9374.900152000004
9503.08904,9234.533488000005,9368.811264000004
9487.977936000003,9217.489056000002,9352.733496000003
9425.066816000002,9185.889072000004,9305.477944000002
9406.311256,9182.644632000005,9294.477944000002
9405.666792000002,9172.333520000004,9289.000156000002
9405.666792000002,9077.800192000002,9241.733492000003
9397.266792000002,9077.800192000002,9237.533492000002
9367.666792000002,9068.533520000003,9218.100156000002
9355.289032,9068.533520000003,9211.911276000003
9331.155704000003,9054.422416000005,9192.789060000003
9301.933496000001,9051.844648000004,9176.889072000002
9291.555728000001,9042.555760000005,9167.055744000003
9291.555728000001,9026.666872000003,9159.111300000002
9273.977952000003,9026.666872000003,9150.322412000003
9267.022408000003,9026.666872000003,9146.844640000003
9229.600192000002,9026.666872000003,9128.133532000003
9229.600192000002,9017.666880000002,9123.633536000001
9168.111296000003,9016.511328,9092.311312000002
9168.111296000003,9016.511328,9092.311312000002
9124.844640000003,9006.244672000003,9065.544656000002
9124.844640000003,9006.08912,9065.466880000002
9124.844640000003,8992.578016000003,9058.711328000003
9110.822424000004,8876.800248000003,8993.811336000002
9110.822424000004,8863.066912000002,8986.944668000004
9108.666872000003,8855.089152000002,8981.878012000003
9100.000208000003,8855.089152000002,8977.544680000003
9100.000208000003,8855.089152000002,8977.544680000003
9100.000208000003,8855.089152000002,8977.544680000003
9100.000208000003,8849.800264000001,8974.900236000001
9100.000208000003,8848.755824000002,8974.378016000002
9067.333552000004,8848.755824000002,8958.044688000002
9060.444664000002,8848.755824000002,8954.600244000001
9060.444664000002,8809.955832000001,8935.200248000001
9015.889120000005,8809.955832000001,8912.922476000003
9015.889120000005,8783.644704,8899.766912000003
9015.889120000005,8783.644704,8899.766912000003
8968.955784000005,8775.689136,8872.322460000003
8968.955784000005,8775.689136,8872.322460000003
8968.955784000005,8755.333584,8862.144684000003
8941.800224000004,8755.244696,8848.522460000002
8933.044648000005,8744.689135999999,8838.866892000002
8933.044648000005,8744.689135999999,8838.866892000002
