../results/wi29_exp_rank_mutator001-01.csv,../results/wi29_exp_rank_mutator001-02.csv,avg
54051.84467200001,53370.733496000015,53711.28908400001
53587.80024000001,52441.93348800001,53014.86686400001
52977.77801600001,52069.533512,52523.65576400001
52914.68912800002,51654.577984,52284.633556000015
52459.578000000016,51287.644624000015,51873.611312000015
52188.11136000001,50983.577968000005,51585.844664000004
51947.666912,50318.866888000004,51133.2669
51620.15579200001,49920.466904,50770.311348
51439.289112,49831.266912,50635.278011999995
51347.46690400001,49678.222464000006,50512.84468400001
50819.600240000014,49630.84468800001,50225.22246400001
50588.06689600001,49397.511344000006,49992.78912000001
50386.06689600001,49308.200216000005,49847.13355600001
50316.444664,49308.200216000005,49812.32244
50316.444664,49308.200216000005,49812.32244
50205.733544,49024.733544,49615.233544
50071.689104000005,48881.577984,49476.633544000004
50058.133552000014,48780.178,49419.15577600001
49815.68909600001,48598.46688,49207.077988000005
49815.68909600001,48549.066904000014,49182.37800000001
49596.80020800001,48387.800240000004,48992.300224000006
49596.80020800001,48070.378024000005,48833.589116
49596.80020800001,47843.08911200001,48719.94466000001
49596.80020800001,47843.08911200001,48719.94466000001
49459.555752000015,47830.644656,48645.100204
49373.17798400001,47647.622432000004,48510.40020800001
49189.11130400001,47593.66688800001,48391.38909600001
49103.71130400001,47485.444648000004,48294.57797600001
48985.24463200001,47473.444648000004,48229.34464000001
48759.82240800001,47133.86688,47946.844644000004
48651.04464000001,47133.86688,47892.455760000004
48545.86685600001,47133.86688,47839.866868000005
48482.844648,47060.089080000005,47771.466864
48482.844648,46811.133528000006,47646.989088
48402.13353600001,46811.133528000006,47606.63353200001
48014.60019200001,46399.73352000001,47207.16685600001
47961.08908,46320.4224,47140.75574
47819.200192,46231.48908000001,47025.344636
47594.889088,46168.355744,46881.622416
47594.889088,46029.444648000004,46812.166868
47321.333543999994,46029.444648000004,46675.389096
47321.333543999994,45989.60020000001,46655.466872000005
47276.844648,45968.400200000004,46622.622424
47053.62244000001,45968.400200000004,46511.011320000005
47013.711328,45968.400200000004,46491.055764000004
46956.377992,45968.400200000004,46462.389096
46956.377992,45968.400200000004,46462.389096
46956.377992,45968.400200000004,46462.389096
46817.977984,45968.400200000004,46393.189092
46687.711328,45959.044632000005,46323.377980000005
46619.866872000006,45959.044632000005,46289.45575200001
46409.466864,45905.88906400001,46157.677964
46409.466864,45797.66684800001,46103.566856000005
46409.466864,45797.66684800001,46103.566856000005
46409.466864,45797.66684800001,46103.566856000005
46359.55575200001,45797.66684800001,46078.611300000004
46359.55575200001,45750.73352800001,46055.14464000001
46359.55575200001,45750.73352800001,46055.14464000001
46359.55575200001,45750.73352800001,46055.14464000001
46359.55575200001,45750.73352800001,46055.14464000001
46359.55575200001,45715.666864000006,46037.61130800001
46359.55575200001,45665.0002,46012.277976000005
46359.55575200001,45665.0002,46012.277976000005
46359.55575200001,45665.0002,46012.277976000005
