../results/dj38_exp_rank_swap1-01.csv,../results/dj38_exp_rank_swap1-02.csv,avg
10415.977936000008,10558.155696000005,10487.066816000006
10292.466832000007,10408.200200000007,10350.333516000006
10190.75574400001,10276.977944000006,10233.866844000007
10103.64465600001,10086.022400000005,10094.833528000006
10055.97799200001,10006.244608000006,10031.111300000008
9941.86690400001,9937.511288000007,9939.68909600001
9914.533544000005,9905.911320000007,9910.222432000006
9881.355752000005,9898.866848000007,9890.111300000006
9823.355768000007,9862.844640000007,9843.100204000006
9717.511304000007,9777.844640000007,9747.677972000007
9684.866848000007,9761.222408000007,9723.044628000007
9625.844600000006,9745.066848000006,9685.455724000007
9582.889008000006,9669.000192000007,9625.944600000006
9559.311232000005,9558.244608000006,9558.777920000006
9535.800144000006,9502.422400000009,9519.111272000007
9534.577928000006,9462.000160000007,9498.289044000006
9534.577928000006,9462.000160000007,9498.289044000006
9478.622376000007,9425.177944000006,9451.900160000007
9453.511272000009,9411.711256000004,9432.611264000006
9453.511272000009,9411.711256000004,9432.611264000006
9440.177936000007,9398.600160000004,9419.389048000005
9421.955728000006,9379.911272000005,9400.933500000006
9419.666824000007,9349.666848000004,9384.666836000006
9419.355720000007,9343.711304000004,9381.533512000005
9405.711264000007,9343.711304000004,9374.711284000005
9387.466832000007,9342.622416000006,9365.044624000006
9303.400168000007,9288.177984000005,9295.789076000006
9256.244616000007,9288.177984000005,9272.211300000006
9256.244616000007,9284.644664000007,9270.444640000007
9242.755728000007,9283.266896000006,9263.011312000006
9236.244632000009,9274.222472000007,9255.233552000009
9217.311280000007,9274.222472000007,9245.766876000007
9217.311280000007,9274.000248000008,9245.655764000006
9217.311280000007,9274.000248000008,9245.655764000006
9182.800168000005,9232.489144000006,9207.644656000006
9180.733504000005,9222.955816000007,9201.844660000006
9171.222376000005,9202.489168000007,9186.855772000006
9168.600152000005,9202.489168000007,9185.544660000007
9160.866816000005,9196.000272000007,9178.433544000007
9150.644592000006,9173.066944000006,9161.855768000005
9150.644592000006,9132.222488000005,9141.433540000005
9150.644592000006,9132.222488000005,9141.433540000005
9150.644592000006,9116.311352000004,9133.477972000004
9150.644592000006,9063.244680000005,9106.944636000006
9112.089048000005,9054.355776000006,9083.222412000006
9089.777936000004,9049.466896000005,9069.622416000006
9089.777936000004,9049.466896000005,9069.622416000006
9033.000152000004,9003.044680000006,9018.022416000005
8965.977928000004,9003.044680000006,8984.511304000005
8952.489032000003,9003.044680000006,8977.766856000006
8952.489032000003,9003.044680000006,8977.766856000006
8936.244584000004,9003.044680000006,8969.644632000005
8920.844600000002,9003.044680000006,8961.944640000005
8912.644592000004,9003.044680000006,8957.844636000005
8874.911256000003,8989.266880000005,8932.089068000005
8864.977928000004,8989.266880000005,8927.122404000005
8859.466808000003,8989.266880000005,8924.366844000004
8859.466808000003,8989.266880000005,8924.366844000004
8859.466808000003,8989.266880000005,8924.366844000004
8854.400144000003,8979.289104000007,8916.844624000005
8854.400144000003,8941.111344000003,8897.755744000002
8854.400144000003,8878.911336000005,8866.655740000004
8854.400144000003,8846.822440000007,8850.611292000005
8854.400144000003,8841.555776000007,8847.977960000004
8835.133496000002,8841.555776000007,8838.344636000005
8835.133496000002,8841.555776000007,8838.344636000005
8835.133496000002,8841.555776000007,8838.344636000005
8750.111288000004,8820.511320000005,8785.311304000004
8750.111288000004,8820.511320000005,8785.311304000004
8747.511288000003,8820.511320000005,8784.011304000003
8732.777960000003,8796.155744000003,8764.466852000003
8732.777960000003,8779.000192000001,8755.889076000003
8704.133528000004,8778.200184000005,8741.166856000003
8704.133528000004,8778.200184000005,8741.166856000003
8704.133528000004,8767.311304,8735.722416000002
8704.133528000004,8767.311304,8735.722416000002
8704.133528000004,8763.777960000001,8733.955744000003
8704.133528000004,8763.777960000001,8733.955744000003
8690.800184000002,8763.777960000001,8727.289072000001
8684.800176,8763.777960000001,8724.289068000002
8682.689048000002,8763.777960000001,8723.233504000002
8682.689048000002,8763.777960000001,8723.233504000002
8645.533496000004,8763.777960000001,8704.655728000002
8628.266832000001,8763.777960000001,8696.022396
8628.266832000001,8763.777960000001,8696.022396
8628.266832000001,8763.777960000001,8696.022396
8627.400160000003,8763.777960000001,8695.589060000002
8591.933496000003,8763.777960000001,8677.855728000002
8587.600160000004,8756.466856000003,8672.033508000004
8515.955712000003,8738.622416,8627.289064
8515.955712000003,8726.644640000002,8621.300176000002
8515.955712000003,8725.733528000002,8620.844620000003
8515.955712000003,8725.733528000002,8620.844620000003
8515.955712000003,8708.155768000002,8612.055740000003
8515.955712000003,8699.044680000003,8607.500196000003
8515.955712000003,8699.044680000003,8607.500196000003
8515.955712000003,8699.044680000003,8607.500196000003
8461.911272000003,8695.622440000001,8578.766856000002
