../results/qa194_swap-1-01.csv,../results/qa194_swap-1-02.csv,avg
4821.422536000014,4937.02240800001,4879.222472000012
4816.355864000014,4937.02240800001,4876.689136000012
4816.355864000014,4937.02240800001,4876.689136000012
4816.355864000014,4937.02240800001,4876.689136000012
4816.355864000014,4937.02240800001,4876.689136000012
4816.355864000014,4937.02240800001,4876.689136000012
4810.200304000014,4937.02240800001,4873.611356000012
4810.200304000014,4937.02240800001,4873.611356000012
4810.200304000014,4937.02240800001,4873.611356000012
4810.200304000014,4937.02240800001,4873.611356000012
4800.578080000013,4937.02240800001,4868.800244000011
4800.578080000013,4937.02240800001,4868.800244000011
4800.578080000013,4937.02240800001,4868.800244000011
4800.578080000013,4937.02240800001,4868.800244000011
4780.355832000012,4937.02240800001,4858.689120000011
4779.800280000013,4937.02240800001,4858.411344000011
4779.800280000013,4937.02240800001,4858.411344000011
4779.800280000013,4937.02240800001,4858.411344000011
4776.889176000014,4937.02240800001,4856.955792000012
4776.889176000014,4920.311272000008,4848.600224000011
4776.889176000014,4918.466840000009,4847.678008000012
4776.889176000014,4900.933512000009,4838.911344000011
4763.689192000013,4892.333512000009,4828.01135200001
4763.689192000013,4890.289048000009,4826.989120000011
4763.689192000013,4890.289048000009,4826.989120000011
4763.689192000013,4886.46683200001,4825.078012000011
4763.689192000013,4884.022400000011,4823.855796000012
4763.689192000013,4884.022400000011,4823.855796000012
4754.4669680000125,4883.089072000011,4818.778020000012
4754.4669680000125,4875.111304000011,4814.789136000012
4741.800296000012,4871.044656000012,4806.4224760000125
4741.800296000012,4870.4446560000115,4806.122476000011
4741.800296000012,4853.933536000011,4797.866916000012
4741.800296000012,4853.933536000011,4797.866916000012
4741.800296000012,4853.933536000011,4797.866916000012
4741.800296000012,4850.0890880000115,4795.944692000012
4736.800280000011,4850.0890880000115,4793.444684000011
4736.800280000011,4850.0890880000115,4793.444684000011
4736.800280000011,4850.0890880000115,4793.444684000011
4736.800280000011,4834.089080000011,4785.444680000011
4736.800280000011,4803.733528000011,4770.266904000011
4736.800280000011,4803.733528000011,4770.266904000011
4736.800280000011,4803.733528000011,4770.266904000011
4736.800280000011,4803.733528000011,4770.266904000011
4736.800280000011,4803.733528000011,4770.266904000011
4736.800280000011,4803.733528000011,4770.266904000011
4736.800280000011,4803.733528000011,4770.266904000011
4736.800280000011,4803.733528000011,4770.266904000011
4736.800280000011,4803.733528000011,4770.266904000011
4736.800280000011,4803.733528000011,4770.266904000011
4736.800280000011,4803.733528000011,4770.266904000011
4736.800280000011,4803.733528000011,4770.266904000011
4736.800280000011,4803.733528000011,4770.266904000011
4736.800280000011,4803.733528000011,4770.266904000011
4736.800280000011,4803.733528000011,4770.266904000011
4736.800280000011,4803.733528000011,4770.266904000011
4721.978056000013,4803.733528000011,4762.855792000011
4721.978056000013,4803.733528000011,4762.855792000011
4721.978056000013,4797.5779600000105,4759.778008000012
4721.978056000013,4780.266856000011,4751.122456000012
4721.978056000013,4780.266856000011,4751.122456000012
4721.978056000013,4780.266856000011,4751.122456000012
4721.978056000013,4775.289080000011,4748.633568000012
4721.978056000013,4752.822408000011,4737.400232000012
4721.978056000013,4742.200192000009,4732.089124000011
4721.978056000013,4742.200192000009,4732.089124000011
4721.978056000013,4742.200192000009,4732.089124000011
4721.978056000013,4734.62243200001,4728.300244000011
4720.578064000012,4730.02243200001,4725.3002480000105
4720.578064000012,4730.02243200001,4725.3002480000105
4720.578064000012,4730.02243200001,4725.3002480000105
4720.578064000012,4722.8668800000105,4721.722472000011
4720.578064000012,4722.8668800000105,4721.722472000011
4715.311400000012,4722.8668800000105,4719.089140000011
4715.311400000012,4722.8668800000105,4719.089140000011
4715.311400000012,4722.8668800000105,4719.089140000011
4715.311400000012,4722.8668800000105,4719.089140000011
4715.311400000012,4676.28909600001,4695.800248000011
4715.311400000012,4676.28909600001,4695.800248000011
4715.311400000012,4676.28909600001,4695.800248000011
4715.311400000012,4676.28909600001,4695.800248000011
