../results/qa194_mutator-002-01.csv,../results/qa194_mutator-002-02.csv,avg
5879.755864000015,5878.200352000009,5878.978108000012
5751.533648000014,5602.422544000014,5676.9780960000135
5626.333608000013,5514.022512000011,5570.178060000012
5465.755832000012,5433.533616000013,5449.6447240000125
5423.244728000012,5432.222512000016,5427.733620000014
5320.489176000012,5331.933600000015,5326.211388000013
5308.489176000012,5220.866888000013,5264.6780320000125
5282.71139200001,5188.8891120000135,5235.800252000012
5257.11139200001,5184.066880000014,5220.589136000011
5257.11139200001,5170.711312000014,5213.911352000012
5222.97806400001,5158.622432000015,5190.800248000012
5211.0891680000095,5158.622432000015,5184.855800000012
5172.466936000012,5152.133544000014,5162.300240000013
5169.400280000013,5094.133544000014,5131.766912000014
5156.155784000012,5094.133544000014,5125.144664000013
5156.155784000012,5052.689096000013,5104.422440000013
5156.155784000012,5025.133536000012,5090.644660000013
5155.911344000013,4993.733544000013,5074.822444000013
5154.155784000012,4971.089112000012,5062.622448000013
5102.089128000013,4940.355768000012,5021.222448000013
5100.600248000013,4939.155768000012,5019.878008000012
5092.511368000012,4889.311312000011,4990.9113400000115
5055.600272000012,4889.311312000011,4972.455792000012
5055.600272000012,4872.444640000011,4964.0224560000115
5036.6002480000125,4872.444640000011,4954.522444000011
5035.778008000011,4855.311312000011,4945.5446600000105
5035.200232000012,4796.577952000011,4915.889092000011
5023.0224640000115,4796.577952000011,4909.8002080000115
5023.0224640000115,4796.577952000011,4909.8002080000115
5023.0224640000115,4788.97795200001,4906.00020800001
5019.17800800001,4788.97795200001,4904.07798000001
5016.20025600001,4771.84461600001,4894.02243600001
5016.20025600001,4764.28907200001,4890.24466400001
5016.20025600001,4764.28907200001,4890.24466400001
5011.84469600001,4764.28907200001,4888.06688400001
5000.08913600001,4730.55571200001,4865.32242400001
4993.044680000009,4730.55571200001,4861.800196000009
4993.044680000009,4730.55571200001,4861.800196000009
4988.266912000009,4723.200144000008,4855.733528000008
4971.97802400001,4723.200144000008,4847.589084000008
4971.97802400001,4723.200144000008,4847.589084000008
4964.68915200001,4723.200144000008,4843.944648000009
4964.68915200001,4720.000184000009,4842.344668000009
4960.178040000011,4720.000184000009,4840.08911200001
4935.1558080000095,4720.000184000009,4827.577996000009
4896.111352000011,4720.000184000009,4808.055768000009
4896.111352000011,4713.622392000008,4804.86687200001
4896.111352000011,4713.622392000008,4804.86687200001
4884.8668960000105,4713.622392000008,4799.244644000009
4847.866896000011,4713.622392000008,4780.744644000009
4847.866896000011,4713.622392000008,4780.744644000009
4847.866896000011,4713.622392000008,4780.744644000009
4825.355792000012,4713.622392000008,4769.489092000011
4825.355792000012,4713.622392000008,4769.489092000011
4824.044688000013,4709.733512000008,4766.88910000001
4806.578016000011,4705.133512000008,4755.855764000009
4806.578016000011,4705.133512000008,4755.855764000009
4806.578016000011,4705.133512000008,4755.855764000009
4806.578016000011,4705.133512000008,4755.855764000009
4806.578016000011,4702.644624000007,4754.611320000009
4806.578016000011,4702.644624000007,4754.611320000009
4805.711360000012,4687.977960000007,4746.84466000001
4805.711360000012,4687.977960000007,4746.84466000001
4805.711360000012,4687.977960000007,4746.84466000001
4805.711360000012,4687.977960000007,4746.84466000001
4805.711360000012,4687.977960000007,4746.84466000001
4805.711360000012,4687.977960000007,4746.84466000001
4805.711360000012,4687.977960000007,4746.84466000001
4805.711360000012,4687.977960000007,4746.84466000001
4805.711360000012,4687.977960000007,4746.84466000001
4796.3780240000115,4687.977960000007,4742.17799200001
4796.3780240000115,4685.8446080000085,4741.1113160000095
4796.3780240000115,4685.8446080000085,4741.1113160000095
4796.3780240000115,4685.8446080000085,4741.1113160000095
4787.266928000013,4676.289048000008,4731.777988000011
4787.266928000013,4676.289048000008,4731.777988000011
4780.044704000013,4672.489048000009,4726.266876000011
4777.778032000012,4672.489048000009,4725.13354000001
4772.711360000012,4671.37794400001,4722.044652000011
4772.711360000012,4671.37794400001,4722.044652000011
4772.711360000012,4671.37794400001,4722.044652000011
4772.711360000012,4671.37794400001,4722.044652000011
4772.711360000012,4671.37794400001,4722.044652000011
4772.711360000012,4671.37794400001,4722.044652000011
4758.133576000011,4671.37794400001,4714.755760000011
4758.133576000011,4671.37794400001,4714.755760000011
4758.133576000011,4671.37794400001,4714.755760000011
4758.133576000011,4669.88906400001,4714.0113200000105
4758.133576000011,4669.88906400001,4714.0113200000105
4758.133576000011,4669.88906400001,4714.0113200000105
4758.133576000011,4669.88906400001,4714.0113200000105
4758.133576000011,4669.88906400001,4714.0113200000105
4758.133576000011,4666.02240000001,4712.07798800001
4758.133576000011,4655.33352000001,4706.733548000011
4758.133576000011,4655.33352000001,4706.733548000011
4755.533576000013,4650.422408000009,4702.977992000011
4729.311360000013,4648.955744000009,4689.133552000011
4720.822488000014,4648.955744000009,4684.889116000011
4718.866928000014,4648.955744000009,4683.911336000012
4718.378024000012,4648.955744000009,4683.666884000011
