../results/dj38_reverse-4-01.csv,../results/dj38_reverse-4-02.csv,avg
10443.866864000007,10470.422352000005,10457.144608000006
10425.422424000008,10359.689016000008,10392.555720000008
10299.266864000007,10344.155688000006,10321.711276000005
10167.089056000006,10292.911240000007,10230.000148000006
10028.066832000004,10162.800120000005,10095.433476000006
9901.066840000005,10098.000128000005,9999.533484000005
9830.822392000005,10042.311216000006,9936.566804000006
9746.177928000003,9972.822352000007,9859.500140000004
9638.444552000003,9959.644592000008,9799.044572000006
9638.444552000003,9881.777920000008,9760.111236000004
9630.533440000001,9795.911232000006,9713.222336000003
9612.844560000003,9754.777896000005,9683.811228000004
9612.844560000003,9744.377896000005,9678.611228000005
9612.844560000003,9741.355696000006,9677.100128000005
9601.800112000004,9650.044600000003,9625.922356000003
9595.400112000005,9635.666824000004,9615.533468000005
9595.400112000005,9621.022384000004,9608.211248000003
9569.977896000002,9621.022384000004,9595.500140000004
9513.489016000003,9615.489024000004,9564.489020000005
9436.222360000003,9553.977896000004,9495.100128000004
9436.222360000003,9479.777896000001,9458.000128000003
9399.844576000005,9430.355664000002,9415.100120000003
9378.155688000004,9347.66676,9362.911224000003
9376.955680000003,9345.600096000002,9361.277888000002
9340.889008000004,9320.466760000001,9330.677884000002
9327.644544000002,9320.466760000001,9324.055652000003
9313.888984000001,9320.466760000001,9317.177872
9310.777864000002,9320.466760000001,9315.622312000001
9296.644552000003,9320.466760000001,9308.555656000002
9284.400136000004,9295.422328000002,9289.911232000002
9284.400136000004,9295.422328000002,9289.911232000002
9228.866824000004,9291.266760000002,9260.066792000003
9193.800176000004,9288.311208000003,9241.055692000004
9175.244624000003,9262.911224000003,9219.077924000003
9175.244624000003,9262.911224000003,9219.077924000003
9175.244624000003,9232.066776000001,9203.655700000003
9163.600176000004,9232.066776000001,9197.833476000003
9163.600176000004,9231.400120000002,9197.500148000003
9159.066856000005,9182.533440000001,9170.800148000002
9159.066856000005,9182.533440000001,9170.800148000002
9052.600216000003,9173.177896000003,9112.889056000004
9040.622440000005,9152.511232000004,9096.566836000005
9040.622440000005,9152.511232000004,9096.566836000005
9026.222440000001,9152.511232000004,9089.366836000003
9022.066872000003,9152.511232000004,9087.289052000004
9008.977992000002,9139.311224000003,9074.144608000002
8995.177984000002,9139.311224000003,9067.244604000003
8965.577976000002,9120.822328000002,9043.200152000001
8947.622432000004,9120.822328000002,9034.222380000003
8892.777968000002,9120.822328000002,9006.800148000002
8872.400184000002,9120.822328000002,8996.611256000002
8872.089072,9120.822328000002,8996.455700000002
8826.711296000001,9086.733464000003,8956.722380000003
8826.711296000001,9086.733464000003,8956.722380000003
8824.511304000001,9086.733464000003,8955.622384000002
8801.866888,9086.733464000003,8944.300176
8782.644632000001,9086.733464000003,8934.689048000002
8782.644632000001,9086.733464000003,8934.689048000002
8775.400176,9086.733464000003,8931.06682
8751.866864,9086.733464000003,8919.300164
8751.866864,9086.733464000003,8919.300164
8751.866864,9075.244592000005,8913.555728000003
8751.866864,9064.889040000004,8908.377952000003
