../results/dj38_mutator-002-01.csv,../results/dj38_mutator-002-02.csv,avg
10680.755704000008,10674.57796800001,10677.66683600001
10234.911288000005,10187.06684800001,10210.989068000006
10102.911296000006,10038.889072000009,10070.900184000007
9905.577952000005,9996.355752000007,9950.966852000005
9751.577904000003,9685.489024000004,9718.533464000004
9750.711240000002,9595.355704000001,9673.033472000003
9653.911264000004,9512.866800000002,9583.389032000003
9589.377936000004,9286.355736000001,9437.866836000003
9547.200160000006,9278.422392000002,9412.811276000004
9502.711296000005,9205.889032000001,9354.300164000004
9416.911256000003,9202.777928000001,9309.844592000001
9363.866808000004,9178.355720000001,9271.111264000003
9309.911240000005,9178.355720000001,9244.133480000004
9309.911240000005,9178.355720000001,9244.133480000004
9227.577912000008,9148.466824000001,9188.022368000005
9227.577912000008,9136.911280000002,9182.244596000004
9227.577912000008,9136.911280000002,9182.244596000004
9156.533448000006,9122.666815999999,9139.600132000003
9109.222344000005,9060.200127999999,9084.711236000003
9109.222344000005,9060.200127999999,9084.711236000003
9065.511256000005,9060.200127999999,9062.855692000001
9059.089048000005,9048.911247999999,9054.000148000003
9059.089048000005,8977.666767999997,9018.377908000002
9058.422392000006,8925.266775999999,8991.844584000002
8987.355752000005,8884.13344,8935.744596000002
8987.355752000005,8884.13344,8935.744596000002
8987.355752000005,8878.20012,8932.777936000002
8898.933536000008,8878.20012,8888.566828000003
8898.933536000008,8878.20012,8888.566828000003
8879.533536000008,8878.20012,8878.866828000004
8879.533536000008,8856.577887999998,8868.055712000003
8879.533536000008,8816.044568,8847.789052000004
8844.111312000006,8792.77792,8818.444616000004
8844.111312000006,8792.77792,8818.444616000004
8844.111312000006,8786.844576,8815.477944000002
8844.111312000006,8786.844576,8815.477944000002
8844.111312000006,8763.333472,8803.722392000003
8844.111312000006,8763.333472,8803.722392000003
8843.733520000007,8763.333472,8803.533496000004
8843.733520000007,8763.333472,8803.533496000004
8840.622408000007,8763.333472,8801.977940000004
8829.244640000004,8725.422384,8777.333512000001
8829.244640000004,8725.422384,8777.333512000001
8829.244640000004,8701.022392,8765.133516000002
8829.244640000004,8674.266856,8751.755748000003
8829.244640000004,8674.266856,8751.755748000003
8792.822416000005,8674.266856,8733.544636000002
8792.822416000005,8674.266856,8733.544636000002
8792.822416000005,8655.600184,8724.211300000003
8792.822416000005,8631.622424000003,8712.222420000004
8768.844640000003,8631.622424000003,8700.233532000002
8768.844640000003,8624.933560000003,8696.889100000004
8768.844640000003,8624.933560000003,8696.889100000004
8768.844640000003,8622.444664000002,8695.644652000003
8768.844640000003,8577.689112000002,8673.266876000002
