../results/qa194_exp_rank_mutator001-01.csv,../results/qa194_exp_rank_mutator001-02.csv,avg
4794.0447520000125,4880.26695200001,4837.155852000011
4794.0447520000125,4880.26695200001,4837.155852000011
4794.0447520000125,4880.26695200001,4837.155852000011
4794.0447520000125,4875.02248800001,4834.533620000011
4794.0447520000125,4849.53359200001,4821.789172000012
4794.0447520000125,4846.111376000011,4820.078064000012
4781.1114080000125,4846.044712000011,4813.578060000012
4781.1114080000125,4846.044712000011,4813.578060000012
4781.1114080000125,4846.044712000011,4813.578060000012
4781.1114080000125,4846.044712000011,4813.578060000012
4781.1114080000125,4843.711360000009,4812.411384000011
4781.1114080000125,4843.711360000009,4812.411384000011
4773.289192000012,4824.622456000008,4798.95582400001
4773.289192000012,4805.3557920000085,4789.32249200001
4773.289192000012,4805.3557920000085,4789.32249200001
4768.355864000013,4800.378016000009,4784.366940000011
4768.355864000013,4776.311344000009,4772.33360400001
4768.111440000013,4776.311344000009,4772.211392000011
4734.489208000011,4776.311344000009,4755.400276000009
4732.244760000011,4776.311344000009,4754.278052000011
4732.244760000011,4766.755784000009,4749.50027200001
4732.244760000011,4766.755784000009,4749.50027200001
4732.244760000011,4766.755784000009,4749.50027200001
4725.955880000011,4766.755784000009,4746.35583200001
4725.955880000011,4766.755784000009,4746.35583200001
4725.955880000011,4766.755784000009,4746.35583200001
4725.955880000011,4765.53356800001,4745.744724000011
4723.7558960000115,4765.53356800001,4744.644732000011
4716.289224000012,4765.53356800001,4740.91139600001
4693.689216000012,4765.53356800001,4729.611392000011
4693.689216000012,4765.53356800001,4729.611392000011
4693.689216000012,4765.53356800001,4729.611392000011
4693.689216000012,4765.53356800001,4729.611392000011
4693.689216000012,4751.844696000011,4722.766956000011
4693.689216000012,4751.844696000011,4722.766956000011
4693.689216000012,4751.844696000011,4722.766956000011
4693.689216000012,4751.844696000011,4722.766956000011
4693.689216000012,4746.3780320000105,4720.033624000011
4693.689216000012,4730.178024000012,4711.933620000012
4693.689216000012,4730.178024000012,4711.933620000012
4693.689216000012,4730.178024000012,4711.933620000012
4632.222528000011,4730.178024000012,4681.200276000011
4632.222528000011,4730.178024000012,4681.200276000011
4632.222528000011,4730.178024000012,4681.200276000011
4632.222528000011,4730.178024000012,4681.200276000011
4632.222528000011,4730.178024000012,4681.200276000011
4632.222528000011,4730.178024000012,4681.200276000011
4632.222528000011,4730.178024000012,4681.200276000011
4632.222528000011,4730.178024000012,4681.200276000011
4632.222528000011,4730.178024000012,4681.200276000011
4630.355864000012,4730.178024000012,4680.266944000012
4630.244752000012,4730.178024000012,4680.211388000012
4612.489192000012,4730.178024000012,4671.333608000012
4612.489192000012,4730.178024000012,4671.333608000012
4612.489192000012,4730.178024000012,4671.333608000012
4612.489192000012,4730.178024000012,4671.333608000012
4612.489192000012,4730.178024000012,4671.333608000012
4612.489192000012,4730.178024000012,4671.333608000012
4612.489192000012,4730.178024000012,4671.333608000012
4612.489192000012,4730.178024000012,4671.333608000012
4612.489192000012,4730.178024000012,4671.333608000012
4612.489192000012,4730.178024000012,4671.333608000012
4612.489192000012,4730.178024000012,4671.333608000012
4612.489192000012,4730.178024000012,4671.333608000012
4612.489192000012,4730.178024000012,4671.333608000012
4612.489192000012,4723.955792000012,4668.222492000012
4612.489192000012,4723.955792000012,4668.222492000012
4612.489192000012,4723.955792000012,4668.222492000012
4612.489192000012,4723.955792000012,4668.222492000012
4612.489192000012,4723.955792000012,4668.222492000012
4612.489192000012,4717.48912000001,4664.989156000011
4609.978072000013,4716.466904000013,4663.222488000012
4609.578072000013,4716.466904000013,4663.022488000013
4609.578072000013,4716.466904000013,4663.022488000013
4609.578072000013,4716.466904000013,4663.022488000013
4609.578072000013,4716.466904000013,4663.022488000013
4609.578072000013,4716.466904000013,4663.022488000013
4609.578072000013,4711.955792000012,4660.766932000012
4596.266968000014,4711.400232000012,4653.833600000013
4596.266968000014,4711.400232000012,4653.833600000013
4596.266968000014,4711.400232000012,4653.833600000013
4596.266968000014,4711.400232000012,4653.833600000013
4596.266968000014,4711.400232000012,4653.833600000013
4591.178096000013,4698.200240000012,4644.689168000013
4591.178096000013,4698.200240000012,4644.689168000013
4591.178096000013,4689.489136000013,4640.333616000013
4584.555864000013,4647.000248000012,4615.778056000012
4584.555864000013,4647.000248000012,4615.778056000012
4563.733624000012,4644.266912000012,4604.0002680000125
4540.666952000012,4644.266912000012,4592.466932000012
4540.666952000012,4644.266912000012,4592.466932000012
4540.666952000012,4644.266912000012,4592.466932000012
4540.666952000012,4644.266912000012,4592.466932000012
4540.666952000012,4638.000264000013,4589.333608000013
4540.178064000013,4638.000264000013,4589.089164000014
4540.178064000013,4614.333592000013,4577.255828000013
4540.178064000013,4614.333592000013,4577.255828000013
4540.178064000013,4614.333592000013,4577.255828000013
4540.178064000013,4610.844696000012,4575.511380000013
4540.178064000013,4610.844696000012,4575.511380000013
4540.178064000013,4610.844696000012,4575.511380000013
4540.178064000013,4610.844696000012,4575.511380000013
4540.178064000013,4610.844696000012,4575.511380000013
4540.178064000013,4610.844696000012,4575.511380000013
4540.178064000013,4609.200248000011,4574.689156000012
4540.178064000013,4609.200248000011,4574.689156000012
4540.178064000013,4609.200248000011,4574.689156000012
4540.178064000013,4609.200248000011,4574.689156000012
4540.178064000013,4609.200248000011,4574.689156000012
4530.955832000012,4609.200248000011,4570.078040000011
4530.955832000012,4609.200248000011,4570.078040000011
4530.955832000012,4609.200248000011,4570.078040000011
4530.955832000012,4600.578024000011,4565.766928000012
4529.400296000013,4600.578024000011,4564.989160000012
4529.400296000013,4600.578024000011,4564.989160000012
4529.400296000013,4600.578024000011,4564.989160000012
4529.400296000013,4600.578024000011,4564.989160000012
4529.400296000013,4600.578024000011,4564.989160000012
4529.400296000013,4600.578024000011,4564.989160000012
4529.400296000013,4600.578024000011,4564.989160000012
4529.400296000013,4600.578024000011,4564.989160000012
4529.400296000013,4600.578024000011,4564.989160000012
4529.400296000013,4600.578024000011,4564.989160000012
4529.400296000013,4600.578024000011,4564.989160000012
4529.400296000013,4600.578024000011,4564.989160000012
4529.400296000013,4600.578024000011,4564.989160000012
4529.400296000013,4600.578024000011,4564.989160000012
4529.400296000013,4600.578024000011,4564.989160000012
4529.400296000013,4600.578024000011,4564.989160000012
4529.400296000013,4600.578024000011,4564.989160000012
4529.400296000013,4585.800256000012,4557.600276000013
4529.400296000013,4585.800256000012,4557.600276000013
4529.400296000013,4585.800256000012,4557.600276000013
4529.400296000013,4585.800256000012,4557.600276000013
4521.5558480000145,4585.800256000012,4553.678052000014
4521.5558480000145,4585.800256000012,4553.678052000014
4521.5558480000145,4585.800256000012,4553.678052000014
4521.5558480000145,4585.800256000012,4553.678052000014
4521.5558480000145,4585.800256000012,4553.678052000014
4521.5558480000145,4585.800256000012,4553.678052000014
4521.5558480000145,4585.800256000012,4553.678052000014
4521.5558480000145,4585.800256000012,4553.678052000014
4521.5558480000145,4585.800256000012,4553.678052000014
4521.5558480000145,4585.800256000012,4553.678052000014
4521.5558480000145,4585.800256000012,4553.678052000014
4521.5558480000145,4585.800256000012,4553.678052000014
4521.5558480000145,4585.800256000012,4553.678052000014
4521.5558480000145,4585.800256000012,4553.678052000014
4521.5558480000145,4585.800256000012,4553.678052000014
4521.5558480000145,4572.755808000012,4547.155828000014
4521.5558480000145,4572.755808000012,4547.155828000014
4521.5558480000145,4572.755808000012,4547.155828000014
4521.5558480000145,4572.755808000012,4547.155828000014
4521.5558480000145,4570.666920000012,4546.1113840000135
4521.5558480000145,4570.666920000012,4546.1113840000135
4521.5558480000145,4570.666920000012,4546.1113840000135
4521.5558480000145,4570.666920000012,4546.1113840000135
4521.5558480000145,4570.666920000012,4546.1113840000135
4521.5558480000145,4570.666920000012,4546.1113840000135
4521.5558480000145,4570.666920000012,4546.1113840000135
4521.5558480000145,4570.666920000012,4546.1113840000135
4521.5558480000145,4570.666920000012,4546.1113840000135
4521.5558480000145,4570.666920000012,4546.1113840000135
4521.5558480000145,4569.689144000013,4545.622496000014
4521.5558480000145,4569.689144000013,4545.622496000014
4521.5558480000145,4569.689144000013,4545.622496000014
4521.5558480000145,4568.044704000013,4544.800276000014
4521.5558480000145,4568.044704000013,4544.800276000014
4521.5558480000145,4568.044704000013,4544.800276000014
4521.5558480000145,4568.044704000013,4544.800276000014
4521.5558480000145,4568.044704000013,4544.800276000014
4514.289168000014,4568.044704000013,4541.166936000013
