../results/wi29shuffle0-01.csv,../results/wi29shuffle0-02.csv,avg
42858.155696,42341.75573600001,42599.955716000004
42858.155696,42341.75573600001,42599.955716000004
42858.155696,42341.75573600001,42599.955716000004
42858.155696,42341.75573600001,42599.955716000004
42858.155696,42341.75573600001,42599.955716000004
42858.155696,42341.75573600001,42599.955716000004
42858.155696,42341.75573600001,42599.955716000004
42858.155696,42341.75573600001,42599.955716000004
42858.155696,42341.75573600001,42599.955716000004
42858.155696,42341.75573600001,42599.955716000004
42858.155696,42341.75573600001,42599.955716000004
42858.155696,42341.75573600001,42599.955716000004
42858.155696,42341.75573600001,42599.955716000004
42858.155696,42341.75573600001,42599.955716000004
42799.222368,42341.75573600001,42570.489052000004
42799.222368,42341.75573600001,42570.489052000004
42799.222368,42341.75573600001,42570.489052000004
42702.400136000004,42341.75573600001,42522.077936
42702.400136000004,42341.75573600001,42522.077936
42702.400136000004,42310.666840000005,42506.533488
42702.400136000004,42310.666840000005,42506.533488
42702.400136000004,42310.666840000005,42506.533488
42702.400136000004,42310.666840000005,42506.533488
42702.400136000004,42310.666840000005,42506.533488
42672.000136,42310.666840000005,42491.333488000004
42672.000136,42310.666840000005,42491.333488000004
42672.000136,42310.666840000005,42491.333488000004
42672.000136,42232.88906400001,42452.4446
42646.24458400001,42232.88906400001,42439.56682400001
42646.24458400001,42232.88906400001,42439.56682400001
42646.24458400001,42232.88906400001,42439.56682400001
42626.977904,42232.88906400001,42429.93348400001
42626.977904,42220.955736,42423.96682
42626.977904,42220.955736,42423.96682
42626.977904,42220.955736,42423.96682
42626.977904,42220.955736,42423.96682
42626.977904,42220.955736,42423.96682
42626.977904,42220.955736,42423.96682
42626.977904,42220.955736,42423.96682
42599.64456,42220.955736,42410.300148
42599.64456,42220.955736,42410.300148
42599.64456,42206.400168000015,42403.022364000004
42599.64456,42206.400168000015,42403.022364000004
42599.64456,42206.400168000015,42403.022364000004
42599.64456,42135.37794400001,42367.511252000004
42599.64456,42135.37794400001,42367.511252000004
42592.20012000001,42135.37794400001,42363.78903200001
42592.20012000001,42135.37794400001,42363.78903200001
42592.20012000001,42135.37794400001,42363.78903200001
42592.20012000001,42135.37794400001,42363.78903200001
42592.20012000001,42135.37794400001,42363.78903200001
42592.20012000001,42083.37792800001,42337.78902400001
42575.33346400001,42083.37792800001,42329.35569600001
42575.33346400001,42083.37792800001,42329.35569600001
42575.33346400001,42083.37792800001,42329.35569600001
42575.33346400001,42083.37792800001,42329.35569600001
42575.33346400001,42083.37792800001,42329.35569600001
42575.33346400001,42083.37792800001,42329.35569600001
42575.33346400001,41931.11125600001,42253.222360000014
42575.33346400001,41931.11125600001,42253.222360000014
42555.95568800002,41931.11125600001,42243.53347200001
42535.88902400001,41931.11125600001,42233.50014000001
42535.88902400001,41931.11125600001,42233.50014000001
42525.711248000014,41765.88906400001,42145.80015600001
42525.711248000014,41765.88906400001,42145.80015600001
42525.711248000014,41748.933512,42137.32238000001
42525.711248000014,41730.80018400001,42128.255716000014
42525.711248000014,41730.80018400001,42128.255716000014
42525.711248000014,41730.80018400001,42128.255716000014
42525.711248000014,41730.80018400001,42128.255716000014
42525.711248000014,41730.80018400001,42128.255716000014
42525.711248000014,41730.80018400001,42128.255716000014
42525.711248000014,41730.80018400001,42128.255716000014
42525.711248000014,41645.66683200001,42085.68904000001
42372.511264000015,41645.66683200001,42009.08904800001
42372.511264000015,41645.66683200001,42009.08904800001
42372.511264000015,41645.66683200001,42009.08904800001
42324.97793600001,41645.66683200001,41985.322384000014
42147.00016800001,41645.66683200001,41896.33350000001
42147.00016800001,41645.66683200001,41896.33350000001
42147.00016800001,41645.66683200001,41896.33350000001
42147.00016800001,41645.66683200001,41896.33350000001
42147.00016800001,41645.66683200001,41896.33350000001
42147.00016800001,41645.66683200001,41896.33350000001
