../results/wi29_exp_rank_swap2-01.csv,../results/wi29_exp_rank_swap2-02.csv,avg
52452.177952000005,53377.75576800001,52914.96686000001
51772.600168000004,52722.578016000014,52247.58909200001
51164.755744,52011.00021600001,51587.877980000005
50639.244632,51542.800232000016,51091.02243200001
50232.15573600001,51245.266888000006,50738.71131200001
50050.48907200001,50533.755752000005,50292.12241200001
49770.28908800001,50362.46686400001,50066.37797600001
49305.68909600001,50305.24465600001,49805.466876000006
49246.46687200001,49916.24465600001,49581.35576400001
48851.200216000005,49808.28910400001,49329.74466000001
48643.46689600001,49720.02240000001,49181.74464800001
48643.46689600001,49690.33351200001,49166.90020400001
48546.46688000001,49534.31132800002,49040.389104000016
48240.68908000001,49438.200216000005,48839.444648000004
48208.044632000005,49225.311336000006,48716.67798400001
48183.933520000006,49061.889104000016,48622.91131200001
48181.55575200001,48975.08910400001,48578.322428000014
47989.200184,48851.82241600001,48420.511300000006
47369.97796000001,48319.06684000001,47844.52240000001
47308.24462400001,47812.57794400001,47560.411284000016
47308.24462400001,47693.62240800001,47500.93351600001
46889.24463200001,47433.466856000014,47161.355744000015
46528.26684000001,47357.044648,46942.655744
46528.26684000001,47088.244640000004,46808.25574000001
46389.977952000016,46955.2224,46672.60017600001
46308.26684800001,46922.08908,46615.177964
46308.26684800001,46719.66684800001,46513.96684800001
46308.26684800001,46719.66684800001,46513.96684800001
46308.26684800001,46718.200168,46513.233508000005
46308.26684800001,46718.200168,46513.233508000005
46308.26684800001,46718.200168,46513.233508000005
46162.80014400001,46718.200168,46440.50015600001
46162.80014400001,46489.422384000005,46326.11126400001
46129.37792800001,46489.422384000005,46309.400156
45691.77790400001,46489.422384000005,46090.60014400001
45691.77790400001,46468.51128800001,46080.14459600001
45691.77790400001,46468.51128800001,46080.14459600001
45663.777912000005,46326.977960000004,45995.377936000004
45663.777912000005,46236.666856,45950.22238400001
45663.777912000005,46116.60019200001,45890.18905200001
45663.777912000005,45953.155752000006,45808.466832000006
45389.48902400001,45928.71131200001,45659.100168000004
45335.71126400001,45868.089088,45601.90017600001
45335.71126400001,45520.177952000005,45427.944608000005
45335.71126400001,45520.177952000005,45427.944608000005
45319.62238400001,45520.177952000005,45419.90016800001
45319.62238400001,45520.177952000005,45419.90016800001
45319.62238400001,45520.177952000005,45419.90016800001
45241.11128000001,45486.689064000006,45363.90017200001
45241.11128000001,45357.48904000001,45299.30016000001
