../results/wi29_reverse-2-01.csv,../results/wi29_reverse-2-02.csv,avg
53160.91128800001,55651.466856000014,54406.18907200001
52078.33350400001,54887.977976,53483.15574
51675.86684,53977.666856,52826.766848
51488.44460800001,53600.466864,52544.455736
51020.466840000016,53395.622416000006,52208.04462800001
51020.466840000016,52923.53356,51972.00020000001
50809.60017600001,52670.022448,51739.811312000005
50797.60017600001,52492.844648,51645.222412
50651.64461600001,52078.77797600001,51365.21129600001
50490.377952,51926.977960000004,51208.677956
50490.377952,51725.644648,51108.0113
50242.84463200001,51532.600208,50887.722420000006
50199.111296,51499.266888000006,50849.189092
50159.933520000006,51379.266888000006,50769.600204
50159.933520000006,51215.22244800001,50687.577984
50111.77796000001,51123.97801600001,50617.87798800001
49957.111296,50974.089128,50465.600212000005
49770.53352000001,50917.378016,50343.95576800001
49631.28908800001,50878.5558,50254.92244400001
49589.22240800001,50698.978008000006,50144.100208
49534.62240800001,50694.978008000006,50114.80020800001
49515.955736,50676.933560000005,50096.444648000004
49392.60019200001,50676.933560000005,50034.76687600001
49392.60019200001,50667.644671999995,50030.122432000004
49268.44464000001,50624.778000000006,49946.61132000001
49261.689088000014,50553.822448000006,49907.75576800001
49103.73352800001,50532.20022400001,49817.966876000006
49095.73352800001,50485.689112,49790.71132
49012.089080000005,50475.089112,49743.589096
49012.089080000005,50130.200232,49571.144656000004
49012.089080000005,50012.33355200001,49512.21131600001
49012.089080000005,49955.555784,49483.822432
49012.089080000005,49924.88911200001,49468.489096000005
49012.089080000005,49924.88911200001,49468.489096000005
49012.089080000005,49889.666896,49450.87798800001
49012.089080000005,49758.48911200001,49385.28909600001
48920.311304,49693.000232000006,49306.655768000004
48875.977984000005,49693.000232000006,49284.48910800001
48732.13352000001,49663.37801600001,49197.75576800001
48591.06684800001,49436.466920000006,49013.76688400001
48487.511296000004,49397.800256,48942.655776
48459.24463200001,49397.800256,48928.522444
48428.73352,49397.800256,48913.266888
48325.911288,49277.04468000001,48801.47798400001
48325.911288,49277.04468000001,48801.47798400001
48190.866832,49277.04468000001,48733.95575600001
48142.577944,49199.86692000001,48671.222432
48142.577944,49162.33360000001,48652.455772
48052.46684,49086.33360000001,48569.40022000001
48052.46684,49086.33360000001,48569.40022000001
48052.46684,49045.00027200001,48548.73355600001
48052.46684,49038.33360000001,48545.40022000001
48052.46684,48986.111384,48519.289112
48025.444608000005,48939.24472000001,48482.344664000004
47932.73350400001,48939.24472000001,48435.98911200001
47932.73350400001,48907.511384000005,48420.12244400001
47932.73350400001,48907.511384000005,48420.12244400001
47754.066832,48872.222488000014,48313.144660000005
47754.066832,48670.88914400001,48212.477988
47754.066832,48670.88914400001,48212.477988
